state,year,population
NSW,2011,7247010
NSW,2012,7354226
NSW,2013,7472013
NSW,2014,7595992
NSW,2015,7724221
NSW,2016,7797800
NSW,2017,7919617
NSW,2018,8036004
NSW,2019,8089526
NSW,2020,8166369
NSW,2021,8097062
VIC,2011,5603142
VIC,2012,5724057
VIC,2013,5848960
VIC,2014,5975664
VIC,2015,6110002
VIC,2016,6244227
VIC,2017,6387081
VIC,2018,6529300
VIC,2019,6629870
VIC,2020,6680637
VIC,2021,6547822
QLD,2011,4476132
QLD,2012,4560085
QLD,2013,4649847
QLD,2014,4722139
QLD,2015,4779300
QLD,2016,4826774
QLD,2017,4928328
QLD,2018,5016978
QLD,2019,5115451
QLD,2020,5206400
QLD,2021,5215814
SA,2011,1648588
SA,2012,1659513
SA,2013,1671473
SA,2014,1680627
SA,2015,1690536
SA,2016,1696804
SA,2017,1715736
SA,2018,1728177
SA,2019,1751693
SA,2020,1769319
SA,2021,1802601
WA,2011,2443425
WA,2012,2548288
WA,2013,2621680
WA,2014,2660217
WA,2015,2659581
WA,2016,2642853
WA,2017,2580734
WA,2018,2589950
WA,2019,2623897
WA,2020,2667119
WA,2021,2749365
TAS,2011,511726
TAS,2012,514684
TAS,2013,515605
TAS,2014,516562
TAS,2015,518478
TAS,2016,520093
TAS,2017,527270
TAS,2018,535600
TAS,2019,541479
TAS,2020,547553
TAS,2021,567239
NT,2011,234849
NT,2012,237104
NT,2013,238971
NT,2014,241967
NT,2015,244007
NT,2016,245600
NT,2017,244984
NT,2018,246200
NT,2019,249779
NT,2020,249985
NT,2021,248151
ACT,2011,367752
ACT,2012,376248
ACT,2013,385649
ACT,2014,391585
ACT,2015,396957
ACT,2016,405422
ACT,2017,415596
ACT,2018,427419
ACT,2019,431215
ACT,2020,432731
ACT,2021,452508
