Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Road user,Hospitalisations,Bed days excluding died in hospitals within 30 days
2011,Jan-Jun,Traffic,First Nations people,"Car driver, passenger or unknown position",283,1680
2011,Jan-Jun,Traffic,First Nations people,Motorcyclist,78,644
2011,Jan-Jun,Traffic,First Nations people,Pedal cyclist,57,182
2011,Jan-Jun,Traffic,First Nations people,Pedestrian,115,914
2011,Jan-Jun,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2011,Jan-Jun,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2011,Jan-Jun,Traffic,First Nations people,Other or unknown,19,83
2011,Jan-Jun,Traffic,Non-Indigenous,"Car driver, passenger or unknown position",7531,33855
2011,Jan-Jun,Traffic,Non-Indigenous,Motorcyclist,3524,18615
2011,Jan-Jun,Traffic,Non-Indigenous,Pedal cyclist,2629,7404
2011,Jan-Jun,Traffic,Non-Indigenous,Pedestrian,1270,9859
2011,Jan-Jun,Traffic,Non-Indigenous,"Heavy transport driver, passenger or unknown position",n.p.,n.p.
2011,Jan-Jun,Traffic,Non-Indigenous,Pick-up truck or van occupant,n.p.,n.p.
2011,Jan-Jun,Traffic,Non-Indigenous,Bus occupant,117,405
2011,Jan-Jun,Traffic,Non-Indigenous,Other or unknown,235,1039
2011,Jul-Dec,Traffic,First Nations people,"Car driver, passenger or unknown position",334,1757
2011,Jul-Dec,Traffic,First Nations people,Motorcyclist,109,373
2011,Jul-Dec,Traffic,First Nations people,Pedal cyclist,64,208
2011,Jul-Dec,Traffic,First Nations people,Pedestrian,65,471
2011,Jul-Dec,Traffic,First Nations people,"Heavy transport driver, passenger or unknown position",11,21
2011,Jul-Dec,Traffic,First Nations people,Pick-up truck or van occupant,n.p.,n.p.
2011,Jul-Dec,Traffic,First Nations people,Bus occupant,n.p.,n.p.
2011,Jul-Dec,Traffic,First Nations people,Other or unknown,15,73
