Calendar year,6-monthly,Cause of injury = traffic,First Nations status,ABS remoteness area,Hospitalisations,Bed days excluding died in hospitals within 30 days
2011,Jan-Jun,Traffic,First Nations people,Major Cities,183,1161
2011,Jan-Jun,Traffic,First Nations people,Regional,210,1317
2011,Jan-Jun,Traffic,First Nations people,Remote,156,1105
2011,Jan-Jun,Traffic,Non-Indigenous,Major Cities,10214,44524
2011,Jan-Jun,Traffic,Non-Indigenous,Regional,4791,24534
2011,Jan-Jun,Traffic,Non-Indigenous,Remote,370,1822
2011,Jul-Dec,Traffic,First Nations people,Major Cities,185,996
2011,Jul-Dec,Traffic,First Nations people,Regional,245,1056
2011,Jul-Dec,Traffic,First Nations people,Remote,174,878
2011,Jul-Dec,Traffic,Non-Indigenous,Major Cities,10771,44760
2011,Jul-Dec,Traffic,Non-Indigenous,Regional,4926,23431
2011,Jul-Dec,Traffic,Non-Indigenous,Remote,419,1913
2012,Jan-Jun,Traffic,First Nations people,Major Cities,202,1059
2012,Jan-Jun,Traffic,First Nations people,Regional,239,1213
2012,Jan-Jun,Traffic,First Nations people,Remote,203,1305
2012,Jan-Jun,Traffic,Non-Indigenous,Major Cities,10497,41747
2012,Jan-Jun,Traffic,Non-Indigenous,Regional,4933,23871
2012,Jan-Jun,Traffic,Non-Indigenous,Remote,371,1665
2012,Jul-Dec,Traffic,First Nations people,Major Cities,227,1170
2012,Jul-Dec,Traffic,First Nations people,Regional,306,1224
2012,Jul-Dec,Traffic,First Nations people,Remote,223,1202
2012,Jul-Dec,Traffic,Non-Indigenous,Major Cities,10361,45401
2012,Jul-Dec,Traffic,Non-Indigenous,Regional,4603,22708
2012,Jul-Dec,Traffic,Non-Indigenous,Remote,431,2159
2013,Jan-Jun,Traffic,First Nations people,Major Cities,204,1172
2013,Jan-Jun,Traffic,First Nations people,Regional,263,1309
2013,Jan-Jun,Traffic,First Nations people,Remote,209,1169
2013,Jan-Jun,Traffic,Non-Indigenous,Major Cities,10909,42680
2013,Jan-Jun,Traffic,Non-Indigenous,Regional,4425,20743
2013,Jan-Jun,Traffic,Non-Indigenous,Remote,372,1591
2013,Jul-Dec,Traffic,First Nations people,Major Cities,242,941
2013,Jul-Dec,Traffic,First Nations people,Regional,277,1491
2013,Jul-Dec,Traffic,First Nations people,Remote,211,1462
2013,Jul-Dec,Traffic,Non-Indigenous,Major Cities,11315,43040
2013,Jul-Dec,Traffic,Non-Indigenous,Regional,4793,21628
2013,Jul-Dec,Traffic,Non-Indigenous,Remote,393,1658
2014,Jan-Jun,Traffic,First Nations people,Major Cities,230,1150
2014,Jan-Jun,Traffic,First Nations people,Regional,309,1411
2014,Jan-Jun,Traffic,First Nations people,Remote,183,1052
2014,Jan-Jun,Traffic,Non-Indigenous,Major Cities,11251,41792
2014,Jan-Jun,Traffic,Non-Indigenous,Regional,4594,20775
2014,Jan-Jun,Traffic,Non-Indigenous,Remote,366,1891
2014,Jul-Dec,Traffic,First Nations people,Major Cities,256,1159
2014,Jul-Dec,Traffic,First Nations people,Regional,256,1445
2014,Jul-Dec,Traffic,First Nations people,Remote,209,1355
2014,Jul-Dec,Traffic,Non-Indigenous,Major Cities,11321,41091
2014,Jul-Dec,Traffic,Non-Indigenous,Regional,4764,21247
2014,Jul-Dec,Traffic,Non-Indigenous,Remote,371,1752
2015,Jan-Jun,Traffic,First Nations people,Major Cities,238,904
2015,Jan-Jun,Traffic,First Nations people,Regional,291,898
2015,Jan-Jun,Traffic,First Nations people,Remote,208,1173
2015,Jan-Jun,Traffic,Non-Indigenous,Major Cities,11713,41282
2015,Jan-Jun,Traffic,Non-Indigenous,Regional,4812,20455
2015,Jan-Jun,Traffic,Non-Indigenous,Remote,358,1583
2015,Jul-Dec,Traffic,First Nations people,Major Cities,270,982
2015,Jul-Dec,Traffic,First Nations people,Regional,322,1829
2015,Jul-Dec,Traffic,First Nations people,Remote,253,1661
2015,Jul-Dec,Traffic,Non-Indigenous,Major Cities,11884,68361
2015,Jul-Dec,Traffic,Non-Indigenous,Regional,4872,32528
2015,Jul-Dec,Traffic,Non-Indigenous,Remote,336,1945
2016,Jan-Jun,Traffic,First Nations people,Major Cities,257,999
2016,Jan-Jun,Traffic,First Nations people,Regional,327,1923
2016,Jan-Jun,Traffic,First Nations people,Remote,210,1209
2016,Jan-Jun,Traffic,Non-Indigenous,Major Cities,12724,67750
2016,Jan-Jun,Traffic,Non-Indigenous,Regional,4904,29741
2016,Jan-Jun,Traffic,Non-Indigenous,Remote,335,1697
2016,Jul-Dec,Traffic,First Nations people,Major Cities,294,1560
2016,Jul-Dec,Traffic,First Nations people,Regional,321,1492
2016,Jul-Dec,Traffic,First Nations people,Remote,244,1694
2016,Jul-Dec,Traffic,Non-Indigenous,Major Cities,12666,66920
2016,Jul-Dec,Traffic,Non-Indigenous,Regional,4942,32243
2016,Jul-Dec,Traffic,Non-Indigenous,Remote,343,1772
2017,Jan-Jun,Traffic,First Nations people,Major Cities,302,1280
2017,Jan-Jun,Traffic,First Nations people,Regional,345,1636
2017,Jan-Jun,Traffic,First Nations people,Remote,174,1267
2017,Jan-Jun,Traffic,Non-Indigenous,Major Cities,12805,63829
2017,Jan-Jun,Traffic,Non-Indigenous,Regional,5036,30468
2017,Jan-Jun,Traffic,Non-Indigenous,Remote,339,1991
2017,Jul-Dec,Traffic,First Nations people,Major Cities,315,1363
2017,Jul-Dec,Traffic,First Nations people,Regional,359,1565
2017,Jul-Dec,Traffic,First Nations people,Remote,219,1501
2017,Jul-Dec,Traffic,Non-Indigenous,Major Cities,12483,63570
2017,Jul-Dec,Traffic,Non-Indigenous,Regional,5127,32073
2017,Jul-Dec,Traffic,Non-Indigenous,Remote,314,1537
2018,Jan-Jun,Traffic,First Nations people,Major Cities,287,1052
2018,Jan-Jun,Traffic,First Nations people,Regional,386,2031
2018,Jan-Jun,Traffic,First Nations people,Remote,210,1076
2018,Jan-Jun,Traffic,Non-Indigenous,Major Cities,12789,60888
2018,Jan-Jun,Traffic,Non-Indigenous,Regional,5059,30203
2018,Jan-Jun,Traffic,Non-Indigenous,Remote,344,1320
2018,Jul-Dec,Traffic,First Nations people,Major Cities,355,1445
2018,Jul-Dec,Traffic,First Nations people,Regional,411,2340
2018,Jul-Dec,Traffic,First Nations people,Remote,256,2063
2018,Jul-Dec,Traffic,Non-Indigenous,Major Cities,12447,60147
2018,Jul-Dec,Traffic,Non-Indigenous,Regional,5219,33299
2018,Jul-Dec,Traffic,Non-Indigenous,Remote,376,1443
2019,Jan-Jun,Traffic,First Nations people,Major Cities,357,1945
2019,Jan-Jun,Traffic,First Nations people,Regional,327,1452
2019,Jan-Jun,Traffic,First Nations people,Remote,195,913
2019,Jan-Jun,Traffic,Non-Indigenous,Major Cities,12904,62332
2019,Jan-Jun,Traffic,Non-Indigenous,Regional,5038,29554
2019,Jan-Jun,Traffic,Non-Indigenous,Remote,309,1387
2019,Jul-Dec,Traffic,First Nations people,Major Cities,351,2419
2019,Jul-Dec,Traffic,First Nations people,Regional,342,1777
2019,Jul-Dec,Traffic,First Nations people,Remote,252,1654
2019,Jul-Dec,Traffic,Non-Indigenous,Major Cities,12598,61781
2019,Jul-Dec,Traffic,Non-Indigenous,Regional,5194,30109
2019,Jul-Dec,Traffic,Non-Indigenous,Remote,329,1598
2020,Jan-Jun,Traffic,First Nations people,Major Cities,377,1642
2020,Jan-Jun,Traffic,First Nations people,Regional,407,2411
2020,Jan-Jun,Traffic,First Nations people,Remote,191,1206
2020,Jan-Jun,Traffic,Non-Indigenous,Major Cities,11156,53928
2020,Jan-Jun,Traffic,Non-Indigenous,Regional,4604,26060
2020,Jan-Jun,Traffic,Non-Indigenous,Remote,295,1294
2020,Jul-Dec,Traffic,First Nations people,Major Cities,433,2365
2020,Jul-Dec,Traffic,First Nations people,Regional,539,3004
2020,Jul-Dec,Traffic,First Nations people,Remote,313,1512
2020,Jul-Dec,Traffic,Non-Indigenous,Major Cities,12667,55290
2020,Jul-Dec,Traffic,Non-Indigenous,Regional,5332,28858
2020,Jul-Dec,Traffic,Non-Indigenous,Remote,365,1534
2021,Jan-Jun,Traffic,First Nations people,Major Cities,407,2550
2021,Jan-Jun,Traffic,First Nations people,Regional,430,2508
2021,Jan-Jun,Traffic,First Nations people,Remote,255,1392
2021,Jan-Jun,Traffic,Non-Indigenous,Major Cities,13371,60464
2021,Jan-Jun,Traffic,Non-Indigenous,Regional,5262,32316
2021,Jan-Jun,Traffic,Non-Indigenous,Remote,313,1618
2021,Jul-Dec,Traffic,First Nations people,Major Cities,388,2578
2021,Jul-Dec,Traffic,First Nations people,Regional,455,2757
2021,Jul-Dec,Traffic,First Nations people,Remote,248,1334
2021,Jul-Dec,Traffic,Non-Indigenous,Major Cities,11883,54675
2021,Jul-Dec,Traffic,Non-Indigenous,Regional,5070,26869
2021,Jul-Dec,Traffic,Non-Indigenous,Remote,287,2166
