Calendar year,6-monthly,Cause of injury = traffic,First Nations status,Counterparty,Hospitalisations,Bed days excluding died in hospitals within 30 days
2011,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",208,1508
2011,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,83,609
2011,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,177,1031
2011,Jan-Jun,Traffic,First Nations people,Other,91,471
2011,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",6525,32057
2011,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2267,13313
2011,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,3900,14041
2011,Jan-Jun,Traffic,Non-Indigenous,Other,2952,13116
2011,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",183,1028
2011,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,109,696
2011,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,185,633
2011,Jul-Dec,Traffic,First Nations people,Other,131,583
2011,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",6768,31636
2011,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2334,12502
2011,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4159,14600
2011,Jul-Dec,Traffic,Non-Indigenous,Other,3092,12681
2012,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",224,1553
2012,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,91,391
2012,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,237,1210
2012,Jan-Jun,Traffic,First Nations people,Other,96,444
2012,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",6700,29791
2012,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2281,12185
2012,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4066,15149
2012,Jan-Jun,Traffic,Non-Indigenous,Other,3050,11797
2012,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",252,1307
2012,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,135,801
2012,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,229,1024
2012,Jul-Dec,Traffic,First Nations people,Other,140,492
2012,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",6310,31311
2012,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2268,11931
2012,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4064,15074
2012,Jul-Dec,Traffic,Non-Indigenous,Other,3051,13368
2013,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",192,1229
2013,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,129,513
2013,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,253,1047
2013,Jan-Jun,Traffic,First Nations people,Other,109,874
2013,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",6453,27876
2013,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2241,12149
2013,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4298,14614
2013,Jan-Jun,Traffic,Non-Indigenous,Other,3025,11790
2013,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",238,1367
2013,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,126,655
2013,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,250,1380
2013,Jul-Dec,Traffic,First Nations people,Other,117,507
2013,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",6823,28963
2013,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2343,11475
2013,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4431,15138
2013,Jul-Dec,Traffic,Non-Indigenous,Other,3225,12472
2014,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",220,1153
2014,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,143,688
2014,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,235,1152
2014,Jan-Jun,Traffic,First Nations people,Other,130,769
2014,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",6664,27836
2014,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2331,11538
2014,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4464,16126
2014,Jan-Jun,Traffic,Non-Indigenous,Other,3119,11017
2014,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",241,1520
2014,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,128,580
2014,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,244,1272
2014,Jul-Dec,Traffic,First Nations people,Other,115,618
2014,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",6879,27906
2014,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2337,11052
2014,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4493,15260
2014,Jul-Dec,Traffic,Non-Indigenous,Other,3074,11202
2015,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",234,1020
2015,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,125,505
2015,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,268,1195
2015,Jan-Jun,Traffic,First Nations people,Other,119,367
2015,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",7118,26309
2015,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2494,12297
2015,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4594,14938
2015,Jan-Jun,Traffic,Non-Indigenous,Other,3087,11800
2015,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",263,1407
2015,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,150,972
2015,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,305,1342
2015,Jul-Dec,Traffic,First Nations people,Other,136,796
2015,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",7420,45824
2015,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2426,21107
2015,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4531,19147
2015,Jul-Dec,Traffic,Non-Indigenous,Other,3103,18785
2016,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",272,1679
2016,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,161,1178
2016,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,237,824
2016,Jan-Jun,Traffic,First Nations people,Other,139,539
2016,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",7754,43443
2016,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2578,18880
2016,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4696,21184
2016,Jan-Jun,Traffic,Non-Indigenous,Other,3335,18030
2016,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",268,2179
2016,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,143,824
2016,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,317,1331
2016,Jul-Dec,Traffic,First Nations people,Other,132,418
2016,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",8005,48256
2016,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2634,19369
2016,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4508,17025
2016,Jul-Dec,Traffic,Non-Indigenous,Other,3174,18906
2017,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",299,2003
2017,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,157,769
2017,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,247,1137
2017,Jan-Jun,Traffic,First Nations people,Other,129,382
2017,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",8157,44248
2017,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2440,18256
2017,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4707,19241
2017,Jan-Jun,Traffic,Non-Indigenous,Other,3301,16805
2017,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",296,1757
2017,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,146,906
2017,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,320,1207
2017,Jul-Dec,Traffic,First Nations people,Other,139,637
2017,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",7987,47099
2017,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2612,17472
2017,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4671,18466
2017,Jul-Dec,Traffic,Non-Indigenous,Other,3155,16467
2018,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",281,1283
2018,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,167,1013
2018,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,322,1265
2018,Jan-Jun,Traffic,First Nations people,Other,124,664
2018,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",8038,40677
2018,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2496,18240
2018,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4888,19673
2018,Jan-Jun,Traffic,Non-Indigenous,Other,3258,16346
2018,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",327,1577
2018,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,178,1022
2018,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,389,2286
2018,Jul-Dec,Traffic,First Nations people,Other,142,1057
2018,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",7980,41614
2018,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2653,17389
2018,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4650,19315
2018,Jul-Dec,Traffic,Non-Indigenous,Other,3235,19108
2019,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",295,1713
2019,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,166,735
2019,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,286,1149
2019,Jan-Jun,Traffic,First Nations people,Other,151,770
2019,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",8093,42214
2019,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2628,17991
2019,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4722,17401
2019,Jan-Jun,Traffic,Non-Indigenous,Other,3346,18133
2019,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",333,2363
2019,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,172,757
2019,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,316,1789
2019,Jul-Dec,Traffic,First Nations people,Other,137,1039
2019,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",8190,42391
2019,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2473,18278
2019,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4608,16812
2019,Jul-Dec,Traffic,Non-Indigenous,Other,3422,18650
2020,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",302,1808
2020,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,208,991
2020,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,319,1856
2020,Jan-Jun,Traffic,First Nations people,Other,161,700
2020,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",6383,34149
2020,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2377,15424
2020,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,4680,17616
2020,Jan-Jun,Traffic,Non-Indigenous,Other,3056,16041
2020,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",431,2228
2020,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,259,1470
2020,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,413,2004
2020,Jul-Dec,Traffic,First Nations people,Other,197,1319
2020,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",7386,36447
2020,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2733,18138
2020,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,5367,17404
2020,Jul-Dec,Traffic,Non-Indigenous,Other,3204,14680
2021,Jan-Jun,Traffic,First Nations people,"Car, pick-up truck or van",387,2816
2021,Jan-Jun,Traffic,First Nations people,Fixed or stationary object,180,1031
2021,Jan-Jun,Traffic,First Nations people,Non-collision transport accident,378,1765
2021,Jan-Jun,Traffic,First Nations people,Other,172,917
2021,Jan-Jun,Traffic,Non-Indigenous,"Car, pick-up truck or van",8234,41836
2021,Jan-Jun,Traffic,Non-Indigenous,Fixed or stationary object,2661,17472
2021,Jan-Jun,Traffic,Non-Indigenous,Non-collision transport accident,5052,19131
2021,Jan-Jun,Traffic,Non-Indigenous,Other,3313,17488
2021,Jul-Dec,Traffic,First Nations people,"Car, pick-up truck or van",359,2676
2021,Jul-Dec,Traffic,First Nations people,Fixed or stationary object,189,1593
2021,Jul-Dec,Traffic,First Nations people,Non-collision transport accident,364,1365
2021,Jul-Dec,Traffic,First Nations people,Other,191,1113
2021,Jul-Dec,Traffic,Non-Indigenous,"Car, pick-up truck or van",7018,35713
2021,Jul-Dec,Traffic,Non-Indigenous,Fixed or stationary object,2489,14823
2021,Jul-Dec,Traffic,Non-Indigenous,Non-collision transport accident,4814,18736
2021,Jul-Dec,Traffic,Non-Indigenous,Other,3174,16204
