"year","indigenous_status","age_group","Sum(hospitalisations)","Sum(bed_days)"
2011,"First Nations people","0-7",92,315
2011,"First Nations people","17-25",335,2021
2011,"First Nations people","26-39",286,1633
2011,"First Nations people","40-64",226,1242
2011,"First Nations people","65+",24,258
2011,"First Nations people","8-16",204,1090
2011,"Non-Indigenous","0-7",614,1906
2011,"Non-Indigenous","17-25",7546,28182
2011,"Non-Indigenous","26-39",7659,31172
2011,"Non-Indigenous","40-64",10166,48079
2011,"Non-Indigenous","65+",3735,27163
2011,"Non-Indigenous","8-16",2277,7444
2012,"First Nations people","0-7",81,290
2012,"First Nations people","17-25",385,2267
2012,"First Nations people","26-39",372,1954
2012,"First Nations people","40-64",315,1769
2012,"First Nations people","65+",22,169
2012,"First Nations people","8-16",229,773
2012,"Non-Indigenous","0-7",653,2440
2012,"Non-Indigenous","17-25",7459,26683
2012,"Non-Indigenous","26-39",7670,29998
2012,"Non-Indigenous","40-64",10081,47194
2012,"Non-Indigenous","65+",3862,27376
2012,"Non-Indigenous","8-16",2065,6915
2013,"First Nations people","0-7",78,308
2013,"First Nations people","17-25",422,2153
2013,"First Nations people","26-39",366,2048
2013,"First Nations people","40-64",279,1809
2013,"First Nations people","65+",27,95
2013,"First Nations people","8-16",242,1159
2013,"Non-Indigenous","0-7",647,1602
2013,"Non-Indigenous","17-25",7251,24905
2013,"Non-Indigenous","26-39",7929,27672
2013,"Non-Indigenous","40-64",10820,46751
2013,"Non-Indigenous","65+",4081,27701
2013,"Non-Indigenous","8-16",2111,5846
2014,"First Nations people","0-7",49,144
2014,"First Nations people","17-25",422,1771
2014,"First Nations people","26-39",388,1890
2014,"First Nations people","40-64",314,2536
2014,"First Nations people","65+",14,67
2014,"First Nations people","8-16",220,1079
2014,"Non-Indigenous","0-7",315,749
2014,"Non-Indigenous","17-25",7150,22631
2014,"Non-Indigenous","26-39",8107,27544
2014,"Non-Indigenous","40-64",11105,46322
2014,"Non-Indigenous","65+",2128,14355
2014,"Non-Indigenous","8-16",1980,4788
2015,"First Nations people","0-7",79,247
2015,"First Nations people","17-25",420,1560
2015,"First Nations people","26-39",449,2317
2015,"First Nations people","40-64",372,2337
2015,"First Nations people","65+",41,349
2015,"First Nations people","8-16",239,794
2015,"Non-Indigenous","0-7",654,2278
2015,"Non-Indigenous","17-25",7316,27983
2015,"Non-Indigenous","26-39",8369,35248
2015,"Non-Indigenous","40-64",11587,58986
2015,"Non-Indigenous","65+",4671,39706
2015,"Non-Indigenous","8-16",2176,6006
2016,"First Nations people","0-7",89,236
2016,"First Nations people","17-25",501,1803
2016,"First Nations people","26-39",422,2576
2016,"First Nations people","40-64",374,3218
2016,"First Nations people","65+",29,321
2016,"First Nations people","8-16",254,818
2016,"Non-Indigenous","0-7",634,1954
2016,"Non-Indigenous","17-25",7839,34258
2016,"Non-Indigenous","26-39",8897,41933
2016,"Non-Indigenous","40-64",12157,71609
2016,"Non-Indigenous","65+",4957,49859
2016,"Non-Indigenous","8-16",2200,5480
2017,"First Nations people","0-7",81,224
2017,"First Nations people","17-25",506,1931
2017,"First Nations people","26-39",435,2804
2017,"First Nations people","40-64",418,2633
2017,"First Nations people","65+",42,356
2017,"First Nations people","8-16",251,850
2017,"Non-Indigenous","0-7",642,1483
2017,"Non-Indigenous","17-25",7856,32212
2017,"Non-Indigenous","26-39",8926,40307
2017,"Non-Indigenous","40-64",12329,68352
2017,"Non-Indigenous","65+",5055,49262
2017,"Non-Indigenous","8-16",2222,6438
2018,"First Nations people","0-7",70,303
2018,"First Nations people","17-25",607,3083
2018,"First Nations people","26-39",542,3338
2018,"First Nations people","40-64",411,2236
2018,"First Nations people","65+",47,372
2018,"First Nations people","8-16",253,835
2018,"Non-Indigenous","0-7",646,2166
2018,"Non-Indigenous","17-25",7622,31608
2018,"Non-Indigenous","26-39",9100,36881
2018,"Non-Indigenous","40-64",12381,66521
2018,"Non-Indigenous","65+",5305,49452
2018,"Non-Indigenous","8-16",2144,5734
2019,"First Nations people","0-7",78,337
2019,"First Nations people","17-25",521,3200
2019,"First Nations people","26-39",539,3102
2019,"First Nations people","40-64",411,2356
2019,"First Nations people","65+",59,508
2019,"First Nations people","8-16",248,812
2019,"Non-Indigenous","0-7",616,2129
2019,"Non-Indigenous","17-25",7486,32386
2019,"Non-Indigenous","26-39",8968,34913
2019,"Non-Indigenous","40-64",12579,67038
2019,"Non-Indigenous","65+",5614,49438
2019,"Non-Indigenous","8-16",2219,5966
2020,"First Nations people","0-7",82,416
2020,"First Nations people","17-25",705,3578
2020,"First Nations people","26-39",659,3843
2020,"First Nations people","40-64",496,3078
2020,"First Nations people","65+",53,410
2020,"First Nations people","8-16",295,1051
2020,"Non-Indigenous","0-7",620,1676
2020,"Non-Indigenous","17-25",7183,26606
2020,"Non-Indigenous","26-39",8405,32446
2020,"Non-Indigenous","40-64",11674,58595
2020,"Non-Indigenous","65+",4826,44291
2020,"Non-Indigenous","8-16",2478,6285
2021,"First Nations people","0-7",86,400
2021,"First Nations people","17-25",686,3522
2021,"First Nations people","26-39",597,3981
2021,"First Nations people","40-64",515,3830
2021,"First Nations people","65+",45,306
2021,"First Nations people","8-16",291,1237
2021,"Non-Indigenous","0-7",610,1559
2021,"Non-Indigenous","17-25",7225,28997
2021,"Non-Indigenous","26-39",8689,34628
2021,"Non-Indigenous","40-64",12337,61658
2021,"Non-Indigenous","65+",5361,47318
2021,"Non-Indigenous","8-16",2533,7243
