"year","indigenous_status","counterparty","Sum(hospitalisations)","Sum(bed_days)"
2011,"First Nations people","Car, pick-up truck or van",391,2536
2011,"First Nations people","Fixed or stationary object",192,1305
2011,"First Nations people","Non-collision transport accident",362,1664
2011,"First Nations people","Other",222,1054
2011,"Non-Indigenous","Car, pick-up truck or van",13293,63693
2011,"Non-Indigenous","Fixed or stationary object",4601,25815
2011,"Non-Indigenous","Non-collision transport accident",8059,28641
2011,"Non-Indigenous","Other",6044,25797
2012,"First Nations people","Car, pick-up truck or van",476,2860
2012,"First Nations people","Fixed or stationary object",226,1192
2012,"First Nations people","Non-collision transport accident",466,2234
2012,"First Nations people","Other",236,936
2012,"Non-Indigenous","Car, pick-up truck or van",13010,61102
2012,"Non-Indigenous","Fixed or stationary object",4549,24116
2012,"Non-Indigenous","Non-collision transport accident",8130,30223
2012,"Non-Indigenous","Other",6101,25165
2013,"First Nations people","Car, pick-up truck or van",430,2596
2013,"First Nations people","Fixed or stationary object",255,1168
2013,"First Nations people","Non-collision transport accident",503,2427
2013,"First Nations people","Other",226,1381
2013,"Non-Indigenous","Car, pick-up truck or van",13276,56839
2013,"Non-Indigenous","Fixed or stationary object",4584,23624
2013,"Non-Indigenous","Non-collision transport accident",8729,29752
2013,"Non-Indigenous","Other",6250,24262
2014,"First Nations people","Car, pick-up truck or van",461,2673
2014,"First Nations people","Fixed or stationary object",271,1268
2014,"First Nations people","Non-collision transport accident",479,2424
2014,"First Nations people","Other",245,1387
2014,"Non-Indigenous","Car, pick-up truck or van",13543,55742
2014,"Non-Indigenous","Fixed or stationary object",4668,22590
2014,"Non-Indigenous","Non-collision transport accident",8957,31386
2014,"Non-Indigenous","Other",6193,22219
2015,"First Nations people","Car, pick-up truck or van",497,2427
2015,"First Nations people","Fixed or stationary object",275,1477
2015,"First Nations people","Non-collision transport accident",573,2537
2015,"First Nations people","Other",255,1163
2015,"Non-Indigenous","Car, pick-up truck or van",14538,72133
2015,"Non-Indigenous","Fixed or stationary object",4920,33404
2015,"Non-Indigenous","Non-collision transport accident",9125,34085
2015,"Non-Indigenous","Other",6190,30585
2016,"First Nations people","Car, pick-up truck or van",540,3858
2016,"First Nations people","Fixed or stationary object",304,2002
2016,"First Nations people","Non-collision transport accident",554,2155
2016,"First Nations people","Other",271,957
2016,"Non-Indigenous","Car, pick-up truck or van",15759,91699
2016,"Non-Indigenous","Fixed or stationary object",5212,38249
2016,"Non-Indigenous","Non-collision transport accident",9204,38209
2016,"Non-Indigenous","Other",6509,36936
2017,"First Nations people","Car, pick-up truck or van",595,3760
2017,"First Nations people","Fixed or stationary object",303,1675
2017,"First Nations people","Non-collision transport accident",567,2344
2017,"First Nations people","Other",268,1019
2017,"Non-Indigenous","Car, pick-up truck or van",16144,91347
2017,"Non-Indigenous","Fixed or stationary object",5052,35728
2017,"Non-Indigenous","Non-collision transport accident",9378,37707
2017,"Non-Indigenous","Other",6456,33272
2018,"First Nations people","Car, pick-up truck or van",608,2860
2018,"First Nations people","Fixed or stationary object",345,2035
2018,"First Nations people","Non-collision transport accident",711,3551
2018,"First Nations people","Other",266,1721
2018,"Non-Indigenous","Car, pick-up truck or van",16018,82291
2018,"Non-Indigenous","Fixed or stationary object",5149,35629
2018,"Non-Indigenous","Non-collision transport accident",9538,38988
2018,"Non-Indigenous","Other",6493,35454
2019,"First Nations people","Car, pick-up truck or van",628,4076
2019,"First Nations people","Fixed or stationary object",338,1492
2019,"First Nations people","Non-collision transport accident",602,2938
2019,"First Nations people","Other",288,1809
2019,"Non-Indigenous","Car, pick-up truck or van",16283,84605
2019,"Non-Indigenous","Fixed or stationary object",5101,36269
2019,"Non-Indigenous","Non-collision transport accident",9330,34213
2019,"Non-Indigenous","Other",6768,36783
2020,"First Nations people","Car, pick-up truck or van",733,4036
2020,"First Nations people","Fixed or stationary object",467,2461
2020,"First Nations people","Non-collision transport accident",732,3860
2020,"First Nations people","Other",358,2019
2020,"Non-Indigenous","Car, pick-up truck or van",13769,70596
2020,"Non-Indigenous","Fixed or stationary object",5110,33562
2020,"Non-Indigenous","Non-collision transport accident",10047,35020
2020,"Non-Indigenous","Other",6260,30721
2021,"First Nations people","Car, pick-up truck or van",746,5492
2021,"First Nations people","Fixed or stationary object",369,2624
2021,"First Nations people","Non-collision transport accident",742,3130
2021,"First Nations people","Other",363,2030
2021,"Non-Indigenous","Car, pick-up truck or van",15252,77549
2021,"Non-Indigenous","Fixed or stationary object",5150,32295
2021,"Non-Indigenous","Non-collision transport accident",9866,37867
2021,"Non-Indigenous","Other",6487,33692
