"year","indigenous_status","road_user","Sum(hospitalisations)","Sum(bed_days)"
2011,"First Nations people","Car driver, passenger or unknown position",617,3437
2011,"First Nations people","Heavy transport driver, passenger or unknown position",11,21
2011,"First Nations people","Motorcyclist",187,1017
2011,"First Nations people","Other or unknown",34,156
2011,"First Nations people","Pedal cyclist",121,390
2011,"First Nations people","Pedestrian",180,1385
2011,"Non-Indigenous","Bus occupant",117,405
2011,"Non-Indigenous","Car driver, passenger or unknown position",15597,68200
2011,"Non-Indigenous","Heavy transport driver, passenger or unknown position",287,1429
2011,"Non-Indigenous","Motorcyclist",7185,35485
2011,"Non-Indigenous","Other or unknown",559,2465
2011,"Non-Indigenous","Pedal cyclist",5174,14378
2011,"Non-Indigenous","Pedestrian",2522,19123
2012,"First Nations people","Bus occupant",5,9
2012,"First Nations people","Car driver, passenger or unknown position",758,3775
2012,"First Nations people","Heavy transport driver, passenger or unknown position",5,37
2012,"First Nations people","Motorcyclist",218,1030
2012,"First Nations people","Other or unknown",30,83
2012,"First Nations people","Pedal cyclist",152,361
2012,"First Nations people","Pedestrian",219,1860
2012,"First Nations people","Pick-up truck or van occupant",9,32
2012,"Non-Indigenous","Bus occupant",111,491
2012,"Non-Indigenous","Car driver, passenger or unknown position",15250,66414
2012,"Non-Indigenous","Heavy transport driver, passenger or unknown position",251,1169
2012,"Non-Indigenous","Motorcyclist",7348,35584
2012,"Non-Indigenous","Other or unknown",489,2277
2012,"Non-Indigenous","Pedal cyclist",5379,15104
2012,"Non-Indigenous","Pedestrian",2390,16738
2012,"Non-Indigenous","Pick-up truck or van occupant",129,630
2013,"First Nations people","Car driver, passenger or unknown position",755,3948
2013,"First Nations people","Heavy transport driver, passenger or unknown position",10,29
2013,"First Nations people","Motorcyclist",267,1566
2013,"First Nations people","Other or unknown",25,94
2013,"First Nations people","Pedal cyclist",173,381
2013,"First Nations people","Pedestrian",166,1496
2013,"First Nations people","Pick-up truck or van occupant",6,19
2013,"Non-Indigenous","Car driver, passenger or unknown position",15439,59588
2013,"Non-Indigenous","Heavy transport driver, passenger or unknown position",243,1150
2013,"Non-Indigenous","Motorcyclist",7617,35103
2013,"Non-Indigenous","Other or unknown",504,2377
2013,"Non-Indigenous","Pedal cyclist",5985,16544
2013,"Non-Indigenous","Pedestrian",2409,16207
2013,"Non-Indigenous","Pick-up truck or van occupant",113,662
2014,"First Nations people","Car driver, passenger or unknown position",759,4110
2014,"First Nations people","Heavy transport driver, passenger or unknown position",15,168
2014,"First Nations people","Motorcyclist",254,1251
2014,"First Nations people","Other or unknown",38,73
2014,"First Nations people","Pedal cyclist",177,578
2014,"First Nations people","Pedestrian",196,1489
2014,"Non-Indigenous","Car driver, passenger or unknown position",15363,58850
2014,"Non-Indigenous","Heavy transport driver, passenger or unknown position",449,2357
2014,"Non-Indigenous","Motorcyclist",7919,34159
2014,"Non-Indigenous","Other or unknown",458,1750
2014,"Non-Indigenous","Pedal cyclist",6354,16513
2014,"Non-Indigenous","Pedestrian",2316,15967
2015,"First Nations people","Bus occupant",6,78
2015,"First Nations people","Car driver, passenger or unknown position",883,4004
2015,"First Nations people","Heavy transport driver, passenger or unknown position",15,95
2015,"First Nations people","Motorcyclist",273,1290
2015,"First Nations people","Other or unknown",28,157
2015,"First Nations people","Pedal cyclist",177,424
2015,"First Nations people","Pedestrian",206,1501
2015,"First Nations people","Pick-up truck or van occupant",6,38
2015,"Non-Indigenous","Bus occupant",129,703
2015,"Non-Indigenous","Car driver, passenger or unknown position",16692,81580
2015,"Non-Indigenous","Heavy transport driver, passenger or unknown position",479,2767
2015,"Non-Indigenous","Motorcyclist",7855,42321
2015,"Non-Indigenous","Other or unknown",464,2348
2015,"Non-Indigenous","Pedal cyclist",6435,18013
2015,"Non-Indigenous","Pedestrian",2378,20548
2015,"Non-Indigenous","Pick-up truck or van occupant",107,784
2016,"First Nations people","Bus occupant",9,23
2016,"First Nations people","Car driver, passenger or unknown position",928,5126
2016,"First Nations people","Heavy transport driver, passenger or unknown position",14,51
2016,"First Nations people","Motorcyclist",296,1505
2016,"First Nations people","Other or unknown",25,132
2016,"First Nations people","Pedal cyclist",190,389
2016,"First Nations people","Pedestrian",190,1693
2016,"First Nations people","Pick-up truck or van occupant",5,7
2016,"Non-Indigenous","Bus occupant",130,844
2016,"Non-Indigenous","Car driver, passenger or unknown position",17872,94804
2016,"Non-Indigenous","Heavy transport driver, passenger or unknown position",452,3722
2016,"Non-Indigenous","Motorcyclist",8111,50984
2016,"Non-Indigenous","Other or unknown",575,3615
2016,"Non-Indigenous","Pedal cyclist",6613,19976
2016,"Non-Indigenous","Pedestrian",2514,28025
2016,"Non-Indigenous","Pick-up truck or van occupant",152,1536
2017,"First Nations people","Car driver, passenger or unknown position",938,4376
2017,"First Nations people","Heavy transport driver, passenger or unknown position",15,70
2017,"First Nations people","Motorcyclist",319,1806
2017,"First Nations people","Other or unknown",35,147
2017,"First Nations people","Pedal cyclist",201,452
2017,"First Nations people","Pedestrian",209,1901
2017,"Non-Indigenous","Car driver, passenger or unknown position",17901,88306
2017,"Non-Indigenous","Heavy transport driver, passenger or unknown position",500,2987
2017,"Non-Indigenous","Motorcyclist",8318,50220
2017,"Non-Indigenous","Other or unknown",554,3753
2017,"Non-Indigenous","Pedal cyclist",6782,20847
2017,"Non-Indigenous","Pedestrian",2465,28650
2018,"First Nations people","Bus occupant",6,61
2018,"First Nations people","Car driver, passenger or unknown position",1113,6329
2018,"First Nations people","Heavy transport driver, passenger or unknown position",20,67
2018,"First Nations people","Motorcyclist",333,1512
2018,"First Nations people","Other or unknown",37,566
2018,"First Nations people","Pedal cyclist",199,464
2018,"First Nations people","Pedestrian",209,1128
2018,"First Nations people","Pick-up truck or van occupant",7,25
2018,"Non-Indigenous","Bus occupant",128,791
2018,"Non-Indigenous","Car driver, passenger or unknown position",18337,89186
2018,"Non-Indigenous","Heavy transport driver, passenger or unknown position",524,3476
2018,"Non-Indigenous","Motorcyclist",8200,48644
2018,"Non-Indigenous","Other or unknown",551,3682
2018,"Non-Indigenous","Pedal cyclist",6676,19771
2018,"Non-Indigenous","Pedestrian",2412,24365
2018,"Non-Indigenous","Pick-up truck or van occupant",114,1017
2019,"First Nations people","Car driver, passenger or unknown position",996,5361
2019,"First Nations people","Heavy transport driver, passenger or unknown position",12,29
2019,"First Nations people","Motorcyclist",353,2543
2019,"First Nations people","Other or unknown",10,47
2019,"First Nations people","Pedal cyclist",240,761
2019,"First Nations people","Pedestrian",211,1394
2019,"First Nations people","Pick-up truck or van occupant",11,41
2019,"Non-Indigenous","Car driver, passenger or unknown position",18006,84026
2019,"Non-Indigenous","Heavy transport driver, passenger or unknown position",240,1207
2019,"Non-Indigenous","Motorcyclist",8463,49619
2019,"Non-Indigenous","Other or unknown",273,1893
2019,"Non-Indigenous","Pedal cyclist",6984,21765
2019,"Non-Indigenous","Pedestrian",2461,26248
2019,"Non-Indigenous","Pick-up truck or van occupant",244,1323
2020,"First Nations people","Bus occupant",10,31
2020,"First Nations people","Car driver, passenger or unknown position",1208,6452
2020,"First Nations people","Heavy transport driver, passenger or unknown position",10,23
2020,"First Nations people","Motorcyclist",545,2909
2020,"First Nations people","Other or unknown",45,175
2020,"First Nations people","Pedal cyclist",230,900
2020,"First Nations people","Pedestrian",223,1834
2020,"First Nations people","Pick-up truck or van occupant",19,52
2020,"Non-Indigenous","Bus occupant",160,808
2020,"Non-Indigenous","Car driver, passenger or unknown position",15843,75290
2020,"Non-Indigenous","Heavy transport driver, passenger or unknown position",476,2996
2020,"Non-Indigenous","Motorcyclist",8038,43525
2020,"Non-Indigenous","Other or unknown",525,3401
2020,"Non-Indigenous","Pedal cyclist",8012,23222
2020,"Non-Indigenous","Pedestrian",1857,19245
2020,"Non-Indigenous","Pick-up truck or van occupant",275,1412
2021,"First Nations people","Bus occupant",7,10
2021,"First Nations people","Car driver, passenger or unknown position",1158,5969
2021,"First Nations people","Heavy transport driver, passenger or unknown position",7,30
2021,"First Nations people","Motorcyclist",520,3204
2021,"First Nations people","Other or unknown",52,419
2021,"First Nations people","Pedal cyclist",207,892
2021,"First Nations people","Pedestrian",235,2636
2021,"First Nations people","Pick-up truck or van occupant",28,101
2021,"Non-Indigenous","Bus occupant",84,312
2021,"Non-Indigenous","Car driver, passenger or unknown position",17098,81374
2021,"Non-Indigenous","Heavy transport driver, passenger or unknown position",223,1126
2021,"Non-Indigenous","Motorcyclist",8259,46069
2021,"Non-Indigenous","Other or unknown",541,3564
2021,"Non-Indigenous","Pedal cyclist",7861,25640
2021,"Non-Indigenous","Pedestrian",2072,19632
2021,"Non-Indigenous","Pick-up truck or van occupant",312,1873
