"year","age_group","Sum(hospitalisations)"
2011,"0-7",719
2011,"17-25",8094
2011,"26-39",8166
2011,"40-64",10660
2011,"65-74",1968
2011,"75+",1906
2011,"8-16",2520
2012,"0-7",750
2012,"17-25",8035
2012,"26-39",8251
2012,"40-64",10662
2012,"65-74",1941
2012,"75+",2058
2012,"8-16",2327
2013,"0-7",732
2013,"17-25",7852
2013,"26-39",8472
2013,"40-64",11345
2013,"65-74",2157
2013,"75+",2060
2013,"8-16",2383
2014,"0-7",729
2014,"17-25",7728
2014,"26-39",8668
2014,"40-64",11666
2014,"65-74",2345
2014,"75+",2147
2014,"8-16",2231
2014,"Missing",1
2015,"0-7",750
2015,"17-25",7882
2015,"26-39",8977
2015,"40-64",12199
2015,"65-74",2465
2015,"75+",2370
2015,"8-16",2439
2016,"0-7",736
2016,"17-25",8474
2016,"26-39",9451
2016,"40-64",12749
2016,"65-74",2677
2016,"75+",2400
2016,"8-16",2476
2017,"0-7",740
2017,"17-25",8468
2017,"26-39",9508
2017,"40-64",12937
2017,"65-74",2777
2017,"75+",2411
2017,"8-16",2498
2018,"0-7",724
2018,"17-25",8309
2018,"26-39",9736
2018,"40-64",12973
2018,"65-74",2876
2018,"75+",2550
2018,"8-16",2422
2019,"0-7",704
2019,"17-25",8102
2019,"26-39",9641
2019,"40-64",13170
2019,"65-74",3068
2019,"75+",2686
2019,"8-16",2495
2020,"0-7",714
2020,"17-25",7971
2020,"26-39",9202
2020,"40-64",12342
2020,"65-74",2779
2020,"75+",2159
2020,"8-16",2799
2021,"0-7",707
2021,"17-25",8010
2021,"26-39",9423
2021,"40-64",13026
2021,"65-74",3018
2021,"75+",2458
2021,"8-16",2863
