"year","road_user_group","Sum(hospitalisations)"
2011,"Driver",10948
2011,"Motorcyclist",7565
2011,"Other",2522
2011,"Passenger",4853
2011,"Pedal cyclist",5391
2011,"Pedestrian",2754
2012,"Driver",10806
2012,"Motorcyclist",7728
2012,"Other",2459
2012,"Passenger",4738
2012,"Pedal cyclist",5621
2012,"Pedestrian",2672
2013,"Driver",10942
2013,"Motorcyclist",8018
2013,"Other",2294
2013,"Passenger",4828
2013,"Pedal cyclist",6262
2013,"Pedestrian",2657
2014,"Driver",11122
2014,"Motorcyclist",8334
2014,"Other",2244
2014,"Passenger",4625
2014,"Pedal cyclist",6636
2014,"Pedestrian",2554
2015,"Driver",12163
2015,"Motorcyclist",8298
2015,"Other",2320
2015,"Passenger",4958
2015,"Pedal cyclist",6716
2015,"Pedestrian",2627
2016,"Driver",13194
2016,"Motorcyclist",8526
2016,"Other",2493
2016,"Passenger",5103
2016,"Pedal cyclist",6904
2016,"Pedestrian",2743
2017,"Driver",13267
2017,"Motorcyclist",8739
2017,"Other",2441
2017,"Passenger",5102
2017,"Pedal cyclist",7076
2017,"Pedestrian",2714
2018,"Driver",13595
2018,"Motorcyclist",8623
2018,"Other",2546
2018,"Passenger",5206
2018,"Pedal cyclist",6959
2018,"Pedestrian",2661
2019,"Driver",13482
2019,"Motorcyclist",8924
2019,"Other",2456
2019,"Passenger",4989
2019,"Pedal cyclist",7302
2019,"Pedestrian",2713
2020,"Driver",12217
2020,"Motorcyclist",8684
2020,"Other",2286
2020,"Passenger",4344
2020,"Pedal cyclist",8332
2020,"Pedestrian",2103
2021,"Driver",13327
2021,"Motorcyclist",8883
2021,"Other",2303
2021,"Passenger",4495
2021,"Pedal cyclist",8163
2021,"Pedestrian",2334
