"year","age_group","sex","road_user","Sum(hospitalisations)"
2011,"0-7","Female","Bus occupant",2
2011,"0-7","Female","Car passenger",133
2011,"0-7","Female","Car unknown position",10
2011,"0-7","Female","Heavy transport passenger",1
2011,"0-7","Female","Motorcyclist",6
2011,"0-7","Female","Other or unknown",6
2011,"0-7","Female","Pedal cyclist",64
2011,"0-7","Female","Pedestrian",55
2011,"0-7","Female","Pick-up truck or van occupant",1
2011,"0-7","Male","Bus occupant",5
2011,"0-7","Male","Car passenger",140
2011,"0-7","Male","Car unknown position",10
2011,"0-7","Male","Motorcyclist",21
2011,"0-7","Male","Other or unknown",14
2011,"0-7","Male","Pedal cyclist",140
2011,"0-7","Male","Pedestrian",108
2011,"0-7","Male","Pick-up truck or van occupant",3
2011,"17-25","Female","Bus occupant",14
2011,"17-25","Female","Car driver",1296
2011,"17-25","Female","Car passenger",694
2011,"17-25","Female","Car unknown position",89
2011,"17-25","Female","Heavy transport passenger",2
2011,"17-25","Female","Motorcyclist",163
2011,"17-25","Female","Other or unknown",36
2011,"17-25","Female","Pedal cyclist",112
2011,"17-25","Female","Pedestrian",194
2011,"17-25","Female","Pick-up truck or van occupant",16
2011,"17-25","Male","Bus occupant",7
2011,"17-25","Male","Car driver",1621
2011,"17-25","Male","Car passenger",761
2011,"17-25","Male","Car unknown position",127
2011,"17-25","Male","Heavy transport driver",33
2011,"17-25","Male","Heavy transport passenger",8
2011,"17-25","Male","Heavy transport unknown position",2
2011,"17-25","Male","Motorcyclist",1879
2011,"17-25","Male","Other or unknown",87
2011,"17-25","Male","Pedal cyclist",556
2011,"17-25","Male","Pedestrian",338
2011,"17-25","Male","Pick-up truck or van occupant",59
2011,"26-39","Female","Bus occupant",14
2011,"26-39","Female","Car driver",1248
2011,"26-39","Female","Car passenger",462
2011,"26-39","Female","Car unknown position",90
2011,"26-39","Female","Heavy transport driver",3
2011,"26-39","Female","Heavy transport passenger",4
2011,"26-39","Female","Heavy transport unknown position",2
2011,"26-39","Female","Motorcyclist",203
2011,"26-39","Female","Other or unknown",39
2011,"26-39","Female","Pedal cyclist",269
2011,"26-39","Female","Pedestrian",151
2011,"26-39","Female","Pick-up truck or van occupant",16
2011,"26-39","Male","Bus occupant",10
2011,"26-39","Male","Car driver",1542
2011,"26-39","Male","Car passenger",379
2011,"26-39","Male","Car unknown position",134
2011,"26-39","Male","Heavy transport driver",122
2011,"26-39","Male","Heavy transport passenger",8
2011,"26-39","Male","Heavy transport unknown position",7
2011,"26-39","Male","Motorcyclist",1971
2011,"26-39","Male","Other or unknown",81
2011,"26-39","Male","Pedal cyclist",1045
2011,"26-39","Male","Pedestrian",315
2011,"26-39","Male","Pick-up truck or van occupant",51
2011,"40-64","Female","Bus occupant",34
2011,"40-64","Female","Car driver",1718
2011,"40-64","Female","Car passenger",639
2011,"40-64","Female","Car unknown position",122
2011,"40-64","Female","Heavy transport driver",8
2011,"40-64","Female","Heavy transport passenger",7
2011,"40-64","Female","Heavy transport unknown position",1
2011,"40-64","Female","Motorcyclist",296
2011,"40-64","Female","Other or unknown",58
2011,"40-64","Female","Pedal cyclist",459
2011,"40-64","Female","Pedestrian",285
2011,"40-64","Female","Pick-up truck or van occupant",11
2011,"40-64","Male","Bus occupant",24
2011,"40-64","Male","Car driver",1754
2011,"40-64","Male","Car passenger",323
2011,"40-64","Male","Car unknown position",151
2011,"40-64","Male","Heavy transport driver",271
2011,"40-64","Male","Heavy transport passenger",12
2011,"40-64","Male","Heavy transport unknown position",37
2011,"40-64","Male","Motorcyclist",2349
2011,"40-64","Male","Other or unknown",129
2011,"40-64","Male","Pedal cyclist",1558
2011,"40-64","Male","Pedestrian",348
2011,"40-64","Male","Pick-up truck or van occupant",66
2011,"65-74","Female","Bus occupant",21
2011,"65-74","Female","Car driver",381
2011,"65-74","Female","Car passenger",245
