"year","road_user","counterparty","Sum(hospitalisations)"
2011,"Bus occupant","Car, pick-up truck or van",28
2011,"Bus occupant","Fixed or stationary object",11
2011,"Bus occupant","Heavy transport vehicle or bus",12
2011,"Bus occupant","Non-collision transport accident",139
2011,"Bus occupant","Other and unspecified transport accidents",20
2011,"Bus occupant","Pedestrian or animal",4
2011,"Car driver","2- or 3- wheeled motor vehicle",20
2011,"Car driver","Car, pick-up truck or van",5768
2011,"Car driver","Fixed or stationary object",2774
2011,"Car driver","Heavy transport vehicle or bus",523
2011,"Car driver","Non-collision transport accident",1619
2011,"Car driver","Other and unspecified transport accidents",132
2011,"Car driver","Other non-motor vehicle",13
2011,"Car driver","Pedal cycle",3
2011,"Car driver","Pedestrian or animal",85
2011,"Car driver","Train",11
2011,"Car passenger","2- or 3- wheeled motor vehicle",10
2011,"Car passenger","Car, pick-up truck or van",2480
2011,"Car passenger","Fixed or stationary object",1058
2011,"Car passenger","Heavy transport vehicle or bus",175
2011,"Car passenger","Non-collision transport accident",974
2011,"Car passenger","Other and unspecified transport accidents",95
2011,"Car passenger","Other non-motor vehicle",8
2011,"Car passenger","Pedestrian or animal",41
2011,"Car passenger","Train",12
2011,"Car unknown position","Car, pick-up truck or van",126
2011,"Car unknown position","Fixed or stationary object",42
2011,"Car unknown position","Heavy transport vehicle or bus",10
2011,"Car unknown position","Non-collision transport accident",95
2011,"Car unknown position","Other and unspecified transport accidents",607
2011,"Car unknown position","Other non-motor vehicle",1
2011,"Car unknown position","Pedestrian or animal",8
2011,"Heavy transport driver","Car, pick-up truck or van",43
2011,"Heavy transport driver","Fixed or stationary object",61
2011,"Heavy transport driver","Heavy transport vehicle or bus",63
2011,"Heavy transport driver","Non-collision transport accident",273
2011,"Heavy transport driver","Other and unspecified transport accidents",7
2011,"Heavy transport driver","Pedestrian or animal",3
2011,"Heavy transport driver","Train",5
2011,"Heavy transport passenger","Car, pick-up truck or van",5
2011,"Heavy transport passenger","Fixed or stationary object",5
2011,"Heavy transport passenger","Heavy transport vehicle or bus",7
2011,"Heavy transport passenger","Non-collision transport accident",32
2011,"Heavy transport passenger","Other and unspecified transport accidents",1
2011,"Heavy transport passenger","Pedestrian or animal",1
2011,"Heavy transport passenger","Train",1
2011,"Heavy transport unknown position","Car, pick-up truck or van",2
2011,"Heavy transport unknown position","Heavy transport vehicle or bus",2
2011,"Heavy transport unknown position","Non-collision transport accident",18
2011,"Heavy transport unknown position","Other and unspecified transport accidents",30
2011,"Heavy transport unknown position","Pedestrian or animal",3
2011,"Motorcyclist","2- or 3- wheeled motor vehicle",135
2011,"Motorcyclist","Car, pick-up truck or van",1810
2011,"Motorcyclist","Fixed or stationary object",653
2011,"Motorcyclist","Heavy transport vehicle or bus",88
2011,"Motorcyclist","Non-collision transport accident",3044
2011,"Motorcyclist","Other and unspecified transport accidents",1677
2011,"Motorcyclist","Other non-motor vehicle",9
2011,"Motorcyclist","Pedal cycle",8
2011,"Motorcyclist","Pedestrian or animal",140
2011,"Motorcyclist","Train",1
2011,"Other or unknown","2- or 3- wheeled motor vehicle",1
2011,"Other or unknown","Car, pick-up truck or van",9
2011,"Other or unknown","Fixed or stationary object",1
2011,"Other or unknown","Non-collision transport accident",9
2011,"Other or unknown","Other and unspecified transport accidents",588
2011,"Other or unknown","Other non-motor vehicle",1
2011,"Other or unknown","Pedestrian or animal",1
2011,"Pedal cyclist","2- or 3- wheeled motor vehicle",16
2011,"Pedal cyclist","Car, pick-up truck or van",1239
2011,"Pedal cyclist","Fixed or stationary object",274
2011,"Pedal cyclist","Heavy transport vehicle or bus",53
2011,"Pedal cyclist","Non-collision transport accident",2353
2011,"Pedal cyclist","Other and unspecified transport accidents",1175
2011,"Pedal cyclist","Other non-motor vehicle",3
2011,"Pedal cyclist","Pedal cycle",235
2011,"Pedal cyclist","Pedestrian or animal",41
2011,"Pedal cyclist","Train",2
2011,"Pedestrian","2- or 3- wheeled motor vehicle",64
2011,"Pedestrian","Car, pick-up truck or van",2437
2011,"Pedestrian","Heavy transport vehicle or bus",112
2011,"Pedestrian","Other and unspecified transport accidents",71
2011,"Pedestrian","Other non-motor vehicle",11
2011,"Pedestrian","Pedal cycle",34
2011,"Pedestrian","Pedestrian or animal",13
2011,"Pedestrian","Train",12
2011,"Pick-up truck or van occupant","Car, pick-up truck or van",67
2011,"Pick-up truck or van occupant","Fixed or stationary object",54
2011,"Pick-up truck or van occupant","Heavy transport vehicle or bus",24
2011,"Pick-up truck or van occupant","Non-collision transport accident",87
2011,"Pick-up truck or van occupant","Other and unspecified transport accidents",13
2011,"Pick-up truck or van occupant","Pedestrian or animal",2
2012,"Bus occupant","Car, pick-up truck or van",31
2012,"Bus occupant","Fixed or stationary object",13
2012,"Bus occupant","Heavy transport vehicle or bus",16
2012,"Bus occupant","Non-collision transport accident",124
2012,"Bus occupant","Other and unspecified transport accidents",28
2012,"Bus occupant","Pedestrian or animal",5
2012,"Car driver","2- or 3- wheeled motor vehicle",21
2012,"Car driver","Car, pick-up truck or van",5607
2012,"Car driver","Fixed or stationary object",2754
2012,"Car driver","Heavy transport vehicle or bus",461
2012,"Car driver","Non-collision transport accident",1709
2012,"Car driver","Other and unspecified transport accidents",140
2012,"Car driver","Other non-motor vehicle",13
2012,"Car driver","Pedal cycle",9
2012,"Car driver","Pedestrian or animal",79
2012,"Car driver","Train",13
2012,"Car passenger","2- or 3- wheeled motor vehicle",4
2012,"Car passenger","Car, pick-up truck or van",2341
2012,"Car passenger","Fixed or stationary object",1017
2012,"Car passenger","Heavy transport vehicle or bus",163
2012,"Car passenger","Non-collision transport accident",1072
2012,"Car passenger","Other and unspecified transport accidents",76
2012,"Car passenger","Other non-motor vehicle",4
2012,"Car passenger","Pedal cycle",3
2012,"Car passenger","Pedestrian or animal",58
2012,"Car unknown position","Car, pick-up truck or van",143
2012,"Car unknown position","Fixed or stationary object",40
2012,"Car unknown position","Heavy transport vehicle or bus",8
2012,"Car unknown position","Non-collision transport accident",101
2012,"Car unknown position","Other and unspecified transport accidents",599
2012,"Car unknown position","Other non-motor vehicle",1
2012,"Car unknown position","Pedestrian or animal",3
2012,"Heavy transport driver","2- or 3- wheeled motor vehicle",2
2012,"Heavy transport driver","Car, pick-up truck or van",59
2012,"Heavy transport driver","Fixed or stationary object",53
2012,"Heavy transport driver","Heavy transport vehicle or bus",65
2012,"Heavy transport driver","Non-collision transport accident",231
2012,"Heavy transport driver","Other and unspecified transport accidents",4
2012,"Heavy transport driver","Pedestrian or animal",2
2012,"Heavy transport passenger","Car, pick-up truck or van",5
2012,"Heavy transport passenger","Fixed or stationary object",7
2012,"Heavy transport passenger","Heavy transport vehicle or bus",7
2012,"Heavy transport passenger","Non-collision transport accident",27
2012,"Heavy transport passenger","Other and unspecified transport accidents",1
2012,"Heavy transport unknown position","Fixed or stationary object",2
2012,"Heavy transport unknown position","Heavy transport vehicle or bus",1
2012,"Heavy transport unknown position","Non-collision transport accident",16
2012,"Heavy transport unknown position","Other and unspecified transport accidents",26
2012,"Heavy transport unknown position","Pedestrian or animal",3
2012,"Motorcyclist","2- or 3- wheeled motor vehicle",136
2012,"Motorcyclist","Car, pick-up truck or van",1889
2012,"Motorcyclist","Fixed or stationary object",656
2012,"Motorcyclist","Heavy transport vehicle or bus",79
2012,"Motorcyclist","Non-collision transport accident",3026
2012,"Motorcyclist","Other and unspecified transport accidents",1762
2012,"Motorcyclist","Other non-motor vehicle",6
2012,"Motorcyclist","Pedal cycle",3
2012,"Motorcyclist","Pedestrian or animal",170
2012,"Motorcyclist","Train",1
2012,"Other or unknown","2- or 3- wheeled motor vehicle",1
2012,"Other or unknown","Car, pick-up truck or van",11
2012,"Other or unknown","Fixed or stationary object",0
2012,"Other or unknown","Non-collision transport accident",3
2012,"Other or unknown","Other and unspecified transport accidents",543
2012,"Other or unknown","Other non-motor vehicle",2
2012,"Other or unknown","Pedestrian or animal",3
2012,"Pedal cyclist","2- or 3- wheeled motor vehicle",8
2012,"Pedal cyclist","Car, pick-up truck or van",1292
2012,"Pedal cyclist","Fixed or stationary object",292
2012,"Pedal cyclist","Heavy transport vehicle or bus",70
2012,"Pedal cyclist","Non-collision transport accident",2419
2012,"Pedal cyclist","Other and unspecified transport accidents",1237
2012,"Pedal cyclist","Other non-motor vehicle",4
2012,"Pedal cyclist","Pedal cycle",258
2012,"Pedal cyclist","Pedestrian or animal",41
2012,"Pedestrian","2- or 3- wheeled motor vehicle",45
2012,"Pedestrian","Car, pick-up truck or van",2341
2012,"Pedestrian","Heavy transport vehicle or bus",121
2012,"Pedestrian","Other and unspecified transport accidents",79
2012,"Pedestrian","Other non-motor vehicle",12
2012,"Pedestrian","Pedal cycle",48
2012,"Pedestrian","Pedestrian or animal",13
2012,"Pedestrian","Train",13
2012,"Pick-up truck or van occupant","Car, pick-up truck or van",67
2012,"Pick-up truck or van occupant","Fixed or stationary object",65
2012,"Pick-up truck or van occupant","Heavy transport vehicle or bus",30
2012,"Pick-up truck or van occupant","Non-collision transport accident",87
2012,"Pick-up truck or van occupant","Other and unspecified transport accidents",20
2012,"Pick-up truck or van occupant","Other non-motor vehicle",1
2012,"Pick-up truck or van occupant","Pedestrian or animal",3
2012,"Pick-up truck or van occupant","Train",0
2013,"Bus occupant","Car, pick-up truck or van",35
2013,"Bus occupant","Fixed or stationary object",14
2013,"Bus occupant","Heavy transport vehicle or bus",7
2013,"Bus occupant","Non-collision transport accident",139
2013,"Bus occupant","Other and unspecified transport accidents",25
2013,"Bus occupant","Pedestrian or animal",6
2013,"Car driver","2- or 3- wheeled motor vehicle",25
2013,"Car driver","Car, pick-up truck or van",5580
2013,"Car driver","Fixed or stationary object",2762
2013,"Car driver","Heavy transport vehicle or bus",548
2013,"Car driver","Non-collision transport accident",1746
2013,"Car driver","Other and unspecified transport accidents",151
2013,"Car driver","Other non-motor vehicle",16
2013,"Car driver","Pedal cycle",7
2013,"Car driver","Pedestrian or animal",99
2013,"Car driver","Train",8
2013,"Car passenger","2- or 3- wheeled motor vehicle",7
2013,"Car passenger","Car, pick-up truck or van",2436
2013,"Car passenger","Fixed or stationary object",1016
2013,"Car passenger","Heavy transport vehicle or bus",167
2013,"Car passenger","Non-collision transport accident",1046
2013,"Car passenger","Other and unspecified transport accidents",91
2013,"Car passenger","Other non-motor vehicle",2
2013,"Car passenger","Pedal cycle",2
2013,"Car passenger","Pedestrian or animal",58
2013,"Car passenger","Train",3
2013,"Car unknown position","2- or 3- wheeled motor vehicle",1
2013,"Car unknown position","Car, pick-up truck or van",109
2013,"Car unknown position","Fixed or stationary object",27
2013,"Car unknown position","Heavy transport vehicle or bus",5
2013,"Car unknown position","Non-collision transport accident",78
2013,"Car unknown position","Other and unspecified transport accidents",589
2013,"Car unknown position","Other non-motor vehicle",1
2013,"Car unknown position","Pedal cycle",2
2013,"Car unknown position","Pedestrian or animal",5
2013,"Car unknown position","Train",1
2013,"Heavy transport driver","Car, pick-up truck or van",47
2013,"Heavy transport driver","Fixed or stationary object",67
2013,"Heavy transport driver","Heavy transport vehicle or bus",71
2013,"Heavy transport driver","Non-collision transport accident",223
2013,"Heavy transport driver","Other and unspecified transport accidents",3
2013,"Heavy transport driver","Pedestrian or animal",4
2013,"Heavy transport passenger","Car, pick-up truck or van",8
2013,"Heavy transport passenger","Fixed or stationary object",6
2013,"Heavy transport passenger","Heavy transport vehicle or bus",7
2013,"Heavy transport passenger","Non-collision transport accident",18
2013,"Heavy transport passenger","Other and unspecified transport accidents",1
2013,"Heavy transport unknown position","Heavy transport vehicle or bus",1
2013,"Heavy transport unknown position","Non-collision transport accident",15
2013,"Heavy transport unknown position","Other and unspecified transport accidents",13
2013,"Motorcyclist","2- or 3- wheeled motor vehicle",134
2013,"Motorcyclist","Car, pick-up truck or van",1997
2013,"Motorcyclist","Fixed or stationary object",749
2013,"Motorcyclist","Heavy transport vehicle or bus",84
2013,"Motorcyclist","Non-collision transport accident",3279
2013,"Motorcyclist","Other and unspecified transport accidents",1579
2013,"Motorcyclist","Other non-motor vehicle",12
2013,"Motorcyclist","Pedal cycle",6
2013,"Motorcyclist","Pedestrian or animal",178
2013,"Other or unknown","Car, pick-up truck or van",9
2013,"Other or unknown","Non-collision transport accident",9
2013,"Other or unknown","Other and unspecified transport accidents",514
2013,"Other or unknown","Other non-motor vehicle",4
2013,"Pedal cyclist","2- or 3- wheeled motor vehicle",14
2013,"Pedal cyclist","Car, pick-up truck or van",1387
2013,"Pedal cyclist","Fixed or stationary object",294
2013,"Pedal cyclist","Heavy transport vehicle or bus",64
2013,"Pedal cyclist","Non-collision transport accident",2786
2013,"Pedal cyclist","Other and unspecified transport accidents",1288
2013,"Pedal cyclist","Other non-motor vehicle",6
2013,"Pedal cyclist","Pedal cycle",357
2013,"Pedal cyclist","Pedestrian or animal",64
2013,"Pedal cyclist","Train",2
2013,"Pedestrian","2- or 3- wheeled motor vehicle",52
2013,"Pedestrian","Car, pick-up truck or van",2318
2013,"Pedestrian","Heavy transport vehicle or bus",132
2013,"Pedestrian","Other and unspecified transport accidents",64
2013,"Pedestrian","Other non-motor vehicle",8
2013,"Pedestrian","Pedal cycle",57
2013,"Pedestrian","Pedestrian or animal",16
2013,"Pedestrian","Train",10
2013,"Pick-up truck or van occupant","Car, pick-up truck or van",73
2013,"Pick-up truck or van occupant","Fixed or stationary object",43
2013,"Pick-up truck or van occupant","Heavy transport vehicle or bus",18
2013,"Pick-up truck or van occupant","Non-collision transport accident",78
2013,"Pick-up truck or van occupant","Other and unspecified transport accidents",12
2013,"Pick-up truck or van occupant","Other non-motor vehicle",1
2013,"Pick-up truck or van occupant","Pedestrian or animal",4
2013,"Pick-up truck or van occupant","Train",1
2014,"Bus occupant","Car, pick-up truck or van",54
2014,"Bus occupant","Fixed or stationary object",20
2014,"Bus occupant","Heavy transport vehicle or bus",18
2014,"Bus occupant","Non-collision transport accident",167
2014,"Bus occupant","Other and unspecified transport accidents",30
2014,"Car driver","2- or 3- wheeled motor vehicle",28
2014,"Car driver","Car, pick-up truck or van",5880
2014,"Car driver","Fixed or stationary object",2832
