"year","state","age_group","Sum(hospitalisations)","Sum(bed_days)"
2011,"ACT","0-7",5,10
2011,"ACT","17-25",118,501
2011,"ACT","26-39",142,512
2011,"ACT","40-64",177,729
2011,"ACT","65-74",10,104
2011,"ACT","8-16",38,393
2011,"NSW","0-7",204,785
2011,"NSW","17-25",2502,9842
2011,"NSW","26-39",2462,9187
2011,"NSW","40-64",3352,15809
2011,"NSW","65-74",655,5263
2011,"NSW","75+",688,6513
2011,"NSW","8-16",755,2945
2011,"NT","0-7",7,10
2011,"NT","17-25",119,607
2011,"NT","26-39",134,765
2011,"NT","40-64",124,1022
2011,"NT","65-74",8,188
2011,"NT","8-16",54,285
2011,"QLD","0-7",197,466
2011,"QLD","17-25",1499,6063
2011,"QLD","26-39",1457,6726
2011,"QLD","40-64",1936,9335
2011,"QLD","65-74",330,1897
2011,"QLD","75+",271,2338
2011,"QLD","8-16",632,1708
2011,"SA","0-7",44,86
2011,"SA","17-25",527,1918
2011,"SA","26-39",541,2913
2011,"SA","40-64",774,4435
2011,"SA","65-74",143,955
2011,"SA","75+",169,1208
2011,"SA","8-16",161,517
2011,"TAS","0-7",20,71
2011,"TAS","17-25",126,781
2011,"TAS","26-39",97,691
2011,"TAS","40-64",143,929
2011,"TAS","65-74",27,193
2011,"TAS","75+",34,308
2011,"TAS","8-16",46,133
2011,"VIC","0-7",149,393
2011,"VIC","17-25",2147,6016
2011,"VIC","26-39",2358,7758
2011,"VIC","40-64",3014,11390
2011,"VIC","65-74",581,2861
2011,"VIC","75+",544,4070
2011,"VIC","8-16",533,1436
2011,"WA","0-7",84,452
2011,"WA","17-25",856,4061
2011,"WA","26-39",823,4383
2011,"WA","40-64",1048,6503
2011,"WA","65-74",183,918
2011,"WA","75+",154,929
2011,"WA","8-16",294,1239
2012,"ACT","17-25",141,508
2012,"ACT","26-39",157,518
2012,"ACT","40-64",205,796
2012,"ACT","65-74",7,24
2012,"ACT","8-16",36,115
2012,"NSW","0-7",246,1258
2012,"NSW","17-25",2516,8646
2012,"NSW","26-39",2640,10116
2012,"NSW","40-64",3591,16660
2012,"NSW","65-74",664,4257
