"year","state","road_user","Sum(hospitalisations)","Sum(bed_days)"
2011,"ACT","Car driver, passenger or unknown position",198,923
2011,"ACT","Motorcyclist",144,649
2011,"ACT","Pedal cyclist",149,429
2011,"ACT","Pedestrian",30,459
2011,"NSW","Bus occupant",90,370
2011,"NSW","Car driver, passenger or unknown position",5285,23686
2011,"NSW","Heavy transport driver, passenger or unknown position",161,736
2011,"NSW","Motorcyclist",2393,11863
2011,"NSW","Other or unknown",172,955
2011,"NSW","Pedal cyclist",1487,4222
2011,"NSW","Pedestrian",967,8340
2011,"NSW","Pick-up truck or van occupant",63,172
2011,"NT","Car driver, passenger or unknown position",209,1515
2011,"NT","Motorcyclist",106,708
2011,"NT","Other or unknown",24,103
2011,"NT","Pedal cyclist",62,189
2011,"NT","Pedestrian",44,453
2011,"NT","Pick-up truck or van occupant",7,21
2011,"QLD","Bus occupant",29,77
2011,"QLD","Car driver, passenger or unknown position",2768,12970
2011,"QLD","Heavy transport driver, passenger or unknown position",162,776
2011,"QLD","Motorcyclist",1781,8354
2011,"QLD","Other or unknown",143,597
2011,"QLD","Pedal cyclist",955,2841
2011,"QLD","Pedestrian",443,2683
2011,"QLD","Pick-up truck or van occupant",41,235
2011,"SA","Bus occupant",14,72
2011,"SA","Car driver, passenger or unknown position",1255,5975
2011,"SA","Heavy transport driver, passenger or unknown position",28,85
2011,"SA","Motorcyclist",460,2798
2011,"SA","Pedal cyclist",379,1319
2011,"SA","Pedestrian",176,1632
2011,"SA","Pick-up truck or van occupant",11,35
2011,"TAS","Car driver, passenger or unknown position",225,1575
2011,"TAS","Motorcyclist",129,855
2011,"TAS","Pedal cyclist",73,174
2011,"TAS","Pedestrian",45,347
2011,"VIC","Bus occupant",39,62
2011,"VIC","Car driver, passenger or unknown position",4861,17151
2011,"VIC","Heavy transport driver, passenger or unknown position",156,632
2011,"VIC","Motorcyclist",1622,6525
2011,"VIC","Other or unknown",151,498
2011,"VIC","Pedal cyclist",1687,4174
2011,"VIC","Pedestrian",739,4677
2011,"VIC","Pick-up truck or van occupant",71,205
2011,"WA","Bus occupant",26,72
2011,"WA","Car driver, passenger or unknown position",1616,8277
2011,"WA","Heavy transport driver, passenger or unknown position",45,255
2011,"WA","Motorcyclist",867,5545
2011,"WA","Other or unknown",70,285
2011,"WA","Pedal cyclist",530,1685
2011,"WA","Pedestrian",261,1910
2011,"WA","Pick-up truck or van occupant",27,456
2012,"ACT","Car driver, passenger or unknown position",237,991
2012,"ACT","Motorcyclist",144,523
2012,"ACT","Other or unknown",11,22
2012,"ACT","Pedal cyclist",173,527
2012,"ACT","Pedestrian",27,162
2012,"NSW","Bus occupant",91,423
2012,"NSW","Car driver, passenger or unknown position",5423,22444
2012,"NSW","Heavy transport driver, passenger or unknown position",142,681
2012,"NSW","Motorcyclist",2626,12860
2012,"NSW","Other or unknown",133,662
2012,"NSW","Pedal cyclist",1667,4631
2012,"NSW","Pedestrian",955,7785
2012,"NSW","Pick-up truck or van occupant",84,472
2012,"NT","Car driver, passenger or unknown position",247,1358
2012,"NT","Heavy transport driver, passenger or unknown position",7,18
2012,"NT","Motorcyclist",118,660
2012,"NT","Other or unknown",13,89
2012,"NT","Pedal cyclist",45,184
2012,"NT","Pedestrian",51,579
2012,"QLD","Bus occupant",33,100
2012,"QLD","Car driver, passenger or unknown position",3199,14240
2012,"QLD","Heavy transport driver, passenger or unknown position",146,662
2012,"QLD","Motorcyclist",1776,8547
2012,"QLD","Other or unknown",138,740
2012,"QLD","Pedal cyclist",1054,3053
2012,"QLD","Pedestrian",416,2850
2012,"QLD","Pick-up truck or van occupant",51,222
2012,"SA","Bus occupant",8,27
2012,"SA","Car driver, passenger or unknown position",1133,6579
2012,"SA","Heavy transport driver, passenger or unknown position",31,90
2012,"SA","Motorcyclist",451,2479
2012,"SA","Other or unknown",61,178
2012,"SA","Pedal cyclist",401,1471
2012,"SA","Pedestrian",196,1515
2012,"SA","Pick-up truck or van occupant",10,10
2012,"TAS","Car driver, passenger or unknown position",245,1520
2012,"TAS","Motorcyclist",124,618
2012,"TAS","Other or unknown",7,10
2012,"TAS","Pedal cyclist",91,200
2012,"TAS","Pedestrian",51,434
2012,"VIC","Bus occupant",33,148
2012,"VIC","Car driver, passenger or unknown position",4062,14857
2012,"VIC","Heavy transport driver, passenger or unknown position",116,529
2012,"VIC","Motorcyclist",1505,6109
2012,"VIC","Other or unknown",103,442
2012,"VIC","Pedal cyclist",1530,3865
2012,"VIC","Pedestrian",675,3845
2012,"VIC","Pick-up truck or van occupant",74,450
2012,"WA","Bus occupant",24,100
2012,"WA","Car driver, passenger or unknown position",1568,8384
2012,"WA","Heavy transport driver, passenger or unknown position",50,334
2012,"WA","Motorcyclist",909,5388
2012,"WA","Other or unknown",88,325
2012,"WA","Pedal cyclist",587,1569
2012,"WA","Pedestrian",242,1649
2012,"WA","Pick-up truck or van occupant",25,150
2013,"ACT","Car driver, passenger or unknown position",212,945
2013,"ACT","Motorcyclist",137,611
2013,"ACT","Other or unknown",5,42
2013,"ACT","Pedal cyclist",174,475
2013,"ACT","Pedestrian",33,357
2013,"NSW","Bus occupant",82,441
2013,"NSW","Car driver, passenger or unknown position",5585,20913
2013,"NSW","Heavy transport driver, passenger or unknown position",127,563
2013,"NSW","Motorcyclist",2570,12130
2013,"NSW","Other or unknown",162,913
2013,"NSW","Pedal cyclist",1835,4961
2013,"NSW","Pedestrian",993,6819
2013,"NSW","Pick-up truck or van occupant",67,299
2013,"NT","Car driver, passenger or unknown position",296,1820
2013,"NT","Motorcyclist",121,952
2013,"NT","Pedal cyclist",70,251
2013,"NT","Pedestrian",42,432
2013,"NT","Pick-up truck or van occupant",6,59
2013,"QLD","Bus occupant",37,143
2013,"QLD","Car driver, passenger or unknown position",3658,12494
2013,"QLD","Heavy transport driver, passenger or unknown position",165,719
2013,"QLD","Motorcyclist",2047,8925
2013,"QLD","Other or unknown",140,509
2013,"QLD","Pedal cyclist",1321,3517
2013,"QLD","Pedestrian",400,2446
2013,"QLD","Pick-up truck or van occupant",53,266
2013,"SA","Bus occupant",16,58
2013,"SA","Car driver, passenger or unknown position",1106,5513
2013,"SA","Heavy transport driver, passenger or unknown position",25,202
2013,"SA","Motorcyclist",455,2718
2013,"SA","Other or unknown",27,77
2013,"SA","Pedal cyclist",400,1412
2013,"SA","Pedestrian",172,1497
2013,"SA","Pick-up truck or van occupant",20,94
2013,"TAS","Car driver, passenger or unknown position",265,1348
2013,"TAS","Motorcyclist",149,628
2013,"TAS","Other or unknown",9,81
2013,"TAS","Pedal cyclist",94,298
2013,"TAS","Pedestrian",43,483
2013,"VIC","Bus occupant",45,175
2013,"VIC","Car driver, passenger or unknown position",3689,13552
2013,"VIC","Heavy transport driver, passenger or unknown position",103,558
2013,"VIC","Motorcyclist",1521,5998
2013,"VIC","Other or unknown",118,480
2013,"VIC","Pedal cyclist",1583,3944
2013,"VIC","Pedestrian",673,4071
2013,"VIC","Pick-up truck or van occupant",52,288
2013,"WA","Bus occupant",30,113
2013,"WA","Car driver, passenger or unknown position",1452,7082
2013,"WA","Heavy transport driver, passenger or unknown position",40,342
2013,"WA","Motorcyclist",958,5298
2013,"WA","Other or unknown",56,251
2013,"WA","Pedal cyclist",675,2203
2013,"WA","Pedestrian",245,1696
2013,"WA","Pick-up truck or van occupant",19,241
2014,"ACT","Car driver, passenger or unknown position",232,943
2014,"ACT","Motorcyclist",102,523
2014,"ACT","Pedal cyclist",179,430
