"year","state","sex","Sum(hospitalisations)","Sum(bed_days)"
2011,"ACT","Female",158,676
2011,"ACT","Male",379,1900
2011,"NSW","Female",3729,16626
2011,"NSW","Male",6889,33718
2011,"NT","Female",121,754
2011,"NT","Male",335,2256
2011,"QLD","Female",1948,7588
2011,"QLD","Male",4374,20945
2011,"SA","Female",834,4043
2011,"SA","Male",1525,7989
2011,"TAS","Female",159,1061
2011,"TAS","Male",334,2045
2011,"VIC","Female",3397,11842
2011,"VIC","Male",5929,22082
2011,"WA","Female",1155,5752
2011,"WA","Male",2287,12733
2012,"ACT","Female",212,877
2012,"ACT","Male",389,1389
2012,"NSW","Female",3798,16809
2012,"NSW","Male",7323,33149
2012,"NT","Female",154,900
2012,"NT","Male",342,2055
2012,"QLD","Female",2117,9166
2012,"QLD","Male",4696,21248
2012,"SA","Female",802,4107
2012,"SA","Male",1509,8326
2012,"TAS","Female",167,948
2012,"TAS","Male",369,1900
2012,"VIC","Female",3000,11290
2012,"VIC","Male",5098,18955
2012,"WA","Female",1114,4882
2012,"WA","Male",2379,13017
2013,"ACT","Female",207,844
2013,"ACT","Male",366,1673
2013,"NSW","Female",3988,14855
2013,"NSW","Male",7431,32180
2013,"NT","Female",163,1078
2013,"NT","Male",398,2583
2013,"QLD","Female",2617,8239
2013,"QLD","Male",5204,20780
2013,"SA","Female",749,3870
2013,"SA","Male",1472,7701
2013,"TAS","Female",184,1103
2013,"TAS","Male",386,1788
2013,"VIC","Female",2803,9689
2013,"VIC","Male",4981,19377
2013,"WA","Female",1093,4868
2013,"WA","Male",2382,12358
2014,"ACT","Female",196,654
2014,"ACT","Male",346,1372
2014,"NSW","Female",3963,16363
2014,"NSW","Male",7350,29677
2014,"NT","Female",174,826
2014,"NT","Male",401,2141
2014,"QLD","Female",2599,8580
2014,"QLD","Male",5126,20436
2014,"SA","Female",756,3362
2014,"SA","Male",1625,7834
2014,"TAS","Female",205,992
2014,"TAS","Male",441,1877
2014,"VIC","Female",3116,9951
2014,"VIC","Male",5407,19074
2014,"WA","Female",997,4619
2014,"WA","Male",2157,11970
2015,"ACT","Female",222,1061
2015,"ACT","Male",478,1835
2015,"NSW","Female",3886,18143
2015,"NSW","Male",7198,36188
2015,"NT","Female",242,1258
2015,"NT","Male",449,2203
2015,"QLD","Female",2863,10872
2015,"QLD","Male",5443,23398
2015,"SA","Female",860,3735
2015,"SA","Male",1607,7432
2015,"TAS","Female",216,1238
2015,"TAS","Male",461,2205
2015,"VIC","Female",3452,18564
2015,"VIC","Male",5746,31508
2015,"WA","Female",1086,5949
2015,"WA","Male",2096,12495
2016,"ACT","Female",205,818
2016,"ACT","Male",449,1854
2016,"NSW","Female",4057,18313
2016,"NSW","Male",7417,42036
2016,"NT","Female",233,1332
2016,"NT","Male",476,2461
2016,"QLD","Female",3099,12803
2016,"QLD","Male",5603,27014
2016,"SA","Female",919,4472
2016,"SA","Male",1735,8723
2016,"TAS","Female",222,1328
2016,"TAS","Male",435,2636
2016,"VIC","Female",3954,25755
2016,"VIC","Male",6406,42023
2016,"WA","Female",966,6884
