calendar year,6-monthly,cause of injury = traffic,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2011,Jan-Jun,Traffic,5223,26089,NSW
2011,Jan-Jun,Traffic,4585,16699,Vic
2011,Jan-Jun,Traffic,3017,13967,Qld
2011,Jan-Jun,Traffic,1724,9384,WA
2011,Jan-Jun,Traffic,1147,6446,SA
2011,Jan-Jun,Traffic,247,1360,Tas
2011,Jan-Jun,Traffic,283,1462,ACT
2011,Jan-Jun,Traffic,213,1812,NT
2011,Jul-Dec,Traffic,5395,24255,NSW
2011,Jul-Dec,Traffic,4741,17225,Vic
2011,Jul-Dec,Traffic,3305,14566,Qld
2011,Jul-Dec,Traffic,1718,9101,WA
2011,Jul-Dec,Traffic,1212,5586,SA
2011,Jul-Dec,Traffic,246,1746,Tas
2011,Jul-Dec,Traffic,254,1114,ACT
2011,Jul-Dec,Traffic,243,1198,NT
2012,Jan-Jun,Traffic,5430,23685,NSW
2012,Jan-Jun,Traffic,4669,16007,Vic
2012,Jan-Jun,Traffic,3166,14316,Qld
2012,Jan-Jun,Traffic,1692,8820,WA
2012,Jan-Jun,Traffic,1107,6097,SA
2012,Jan-Jun,Traffic,271,1698,Tas
2012,Jan-Jun,Traffic,313,1281,ACT
2012,Jan-Jun,Traffic,215,1296,NT
2012,Jul-Dec,Traffic,5691,26273,NSW
2012,Jul-Dec,Traffic,3429,14238,Vic
2012,Jul-Dec,Traffic,3647,16098,Qld
2012,Jul-Dec,Traffic,1801,9079,WA
2012,Jul-Dec,Traffic,1204,6336,SA
2012,Jul-Dec,Traffic,265,1150,Tas
2012,Jul-Dec,Traffic,288,985,ACT
2012,Jul-Dec,Traffic,281,1659,NT
2013,Jan-Jun,Traffic,5468,22885,NSW
2013,Jan-Jun,Traffic,3898,15316,Vic
2013,Jan-Jun,Traffic,3719,14091,Qld
2013,Jan-Jun,Traffic,1802,8477,WA
2013,Jan-Jun,Traffic,1063,5711,SA
2013,Jan-Jun,Traffic,278,1384,Tas
2013,Jan-Jun,Traffic,308,1521,ACT
2013,Jan-Jun,Traffic,258,1694,NT
2013,Jul-Dec,Traffic,5953,24154,NSW
2013,Jul-Dec,Traffic,3886,13750,Vic
2013,Jul-Dec,Traffic,4102,14928,Qld
2013,Jul-Dec,Traffic,1673,8749,WA
2013,Jul-Dec,Traffic,1158,5860,SA
2013,Jul-Dec,Traffic,292,1507,Tas
2013,Jul-Dec,Traffic,265,996,ACT
2013,Jul-Dec,Traffic,303,1967,NT
2014,Jan-Jun,Traffic,5622,23299,NSW
2014,Jan-Jun,Traffic,4237,15278,Vic
2014,Jan-Jun,Traffic,3743,14017,Qld
2014,Jan-Jun,Traffic,1609,8045,WA
2014,Jan-Jun,Traffic,1225,5380,SA
2014,Jan-Jun,Traffic,333,1537,Tas
2014,Jan-Jun,Traffic,278,1020,ACT
2014,Jan-Jun,Traffic,289,1512,NT
2014,Jul-Dec,Traffic,5691,22741,NSW
2014,Jul-Dec,Traffic,4286,13747,Vic
2014,Jul-Dec,Traffic,3982,14999,Qld
2014,Jul-Dec,Traffic,1545,8544,WA
2014,Jul-Dec,Traffic,1156,5816,SA
2014,Jul-Dec,Traffic,313,1332,Tas
2014,Jul-Dec,Traffic,264,1006,ACT
2014,Jul-Dec,Traffic,286,1455,NT
2015,Jan-Jun,Traffic,5621,21591,NSW
2015,Jan-Jun,Traffic,4532,14915,Vic
2015,Jan-Jun,Traffic,4082,13509,Qld
2015,Jan-Jun,Traffic,1587,8444,WA
2015,Jan-Jun,Traffic,1180,5232,SA
2015,Jan-Jun,Traffic,345,1703,Tas
2015,Jan-Jun,Traffic,336,1301,ACT
2015,Jan-Jun,Traffic,323,1401,NT
2015,Jul-Dec,Traffic,5463,32740,NSW
2015,Jul-Dec,Traffic,4666,35157,Vic
2015,Jul-Dec,Traffic,4224,20761,Qld
2015,Jul-Dec,Traffic,1596,10001,WA
2015,Jul-Dec,Traffic,1287,5935,SA
2015,Jul-Dec,Traffic,332,1740,Tas
2015,Jul-Dec,Traffic,364,1595,ACT
2015,Jul-Dec,Traffic,368,2060,NT
2016,Jan-Jun,Traffic,5776,30313,NSW
2016,Jan-Jun,Traffic,5200,32950,Vic
2016,Jan-Jun,Traffic,4268,19274,Qld
2016,Jan-Jun,Traffic,1508,10764,WA
2016,Jan-Jun,Traffic,1370,7163,SA
2016,Jan-Jun,Traffic,330,1907,Tas
2016,Jan-Jun,Traffic,335,1422,ACT
2016,Jan-Jun,Traffic,311,1501,NT
2016,Jul-Dec,Traffic,5698,30036,NSW
2016,Jul-Dec,Traffic,5160,34828,Vic
2016,Jul-Dec,Traffic,4434,20543,Qld
2016,Jul-Dec,Traffic,1523,11138,WA
2016,Jul-Dec,Traffic,1284,6032,SA
2016,Jul-Dec,Traffic,327,2057,Tas
2016,Jul-Dec,Traffic,319,1250,ACT
2016,Jul-Dec,Traffic,398,2292,NT
2017,Jan-Jun,Traffic,5600,28357,NSW
2017,Jan-Jun,Traffic,5448,32919,Vic
2017,Jan-Jun,Traffic,4420,19742,Qld
2017,Jan-Jun,Traffic,1616,10153,WA
2017,Jan-Jun,Traffic,1313,6926,SA
2017,Jan-Jun,Traffic,338,1970,Tas
2017,Jan-Jun,Traffic,337,1174,ACT
2017,Jan-Jun,Traffic,296,1667,NT
2017,Jul-Dec,Traffic,5416,31157,NSW
2017,Jul-Dec,Traffic,5346,31135,Vic
2017,Jul-Dec,Traffic,4714,20122,Qld
2017,Jul-Dec,Traffic,1579,9007,WA
2017,Jul-Dec,Traffic,1081,6853,SA
2017,Jul-Dec,Traffic,321,2340,Tas
2017,Jul-Dec,Traffic,295,1435,ACT
2017,Jul-Dec,Traffic,407,2330,NT
2018,Jan-Jun,Traffic,4917,27648,NSW
2018,Jan-Jun,Traffic,5901,32331,Vic
2018,Jan-Jun,Traffic,4547,19875,Qld
2018,Jan-Jun,Traffic,1639,7927,WA
2018,Jan-Jun,Traffic,1216,6487,SA
2018,Jan-Jun,Traffic,372,1851,Tas
