calendar year,6-monthly,cause of injury = traffic,road user,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2538,12423,NSW
2011,Jan-Jun,Traffic,Motorcyclist,1191,6147,NSW
2011,Jan-Jun,Traffic,Pedal cyclist,770,2251,NSW
2011,Jan-Jun,Traffic,Pedestrian,497,4212,NSW
2011,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",82,364,NSW
2011,Jan-Jun,Traffic,Pick-up truck or van occupant,25,73,NSW
2011,Jan-Jun,Traffic,Bus occupant,52,219,NSW
2011,Jan-Jun,Traffic,Other or unknown,68,400,NSW
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",2366,8075,Vic
2011,Jan-Jun,Traffic,Motorcyclist,830,3362,Vic
2011,Jan-Jun,Traffic,Pedal cyclist,852,2204,Vic
2011,Jan-Jun,Traffic,Pedestrian,356,2495,Vic
2011,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",69,244,Vic
2011,Jan-Jun,Traffic,Pick-up truck or van occupant,37,64,Vic
2011,Jan-Jun,Traffic,Bus occupant,22,35,Vic
2011,Jan-Jun,Traffic,Other or unknown,53,220,Vic
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",1329,6165,Qld
2011,Jan-Jun,Traffic,Motorcyclist,821,4388,Qld
2011,Jan-Jun,Traffic,Pedal cyclist,463,1301,Qld
2011,Jan-Jun,Traffic,Pedestrian,232,1454,Qld
2011,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",63,211,Qld
2011,Jan-Jun,Traffic,Pick-up truck or van occupant,17,96,Qld
2011,Jan-Jun,Traffic,Bus occupant,20,55,Qld
2011,Jan-Jun,Traffic,Other or unknown,72,297,Qld
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",787,3938,WA
2011,Jan-Jun,Traffic,Motorcyclist,427,3066,WA
2011,Jan-Jun,Traffic,Pedal cyclist,283,906,WA
2011,Jan-Jun,Traffic,Pedestrian,148,1028,WA
2011,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",22,175,WA
2011,Jan-Jun,Traffic,Pick-up truck or van occupant,13,140,WA
2011,Jan-Jun,Traffic,Bus occupant,10,33,WA
2011,Jan-Jun,Traffic,Other or unknown,34,98,WA
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",601,3399,SA
2011,Jan-Jun,Traffic,Motorcyclist,243,1531,SA
2011,Jan-Jun,Traffic,Pedal cyclist,184,612,SA
2011,Jan-Jun,Traffic,Pedestrian,79,747,SA
2011,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",9,46,SA
2011,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,SA
2011,Jan-Jun,Traffic,Bus occupant,14,72,SA
2011,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,SA
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",103,491,Tas
2011,Jan-Jun,Traffic,Motorcyclist,66,530,Tas
2011,Jan-Jun,Traffic,Pedal cyclist,41,101,Tas
2011,Jan-Jun,Traffic,Pedestrian,27,217,Tas
2011,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,Tas
2011,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,Tas
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",103,628,ACT
2011,Jan-Jun,Traffic,Motorcyclist,67,277,ACT
2011,Jan-Jun,Traffic,Pedal cyclist,85,239,ACT
2011,Jan-Jun,Traffic,Pedestrian,21,282,ACT
2011,Jan-Jun,Traffic,"Heavy transport driver, passenger or unknown position",n.p.,n.p.,ACT
2011,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,ACT
2011,Jan-Jun,Traffic,Other or unknown,n.p.,n.p.,ACT
2011,Jan-Jun,Traffic,"Car driver, passenger or unknown position",93,803,NT
2011,Jan-Jun,Traffic,Motorcyclist,49,433,NT
2011,Jan-Jun,Traffic,Pedal cyclist,25,91,NT
2011,Jan-Jun,Traffic,Pedestrian,26,409,NT
2011,Jan-Jun,Traffic,Pick-up truck or van occupant,n.p.,n.p.,NT
2011,Jan-Jun,Traffic,Bus occupant,n.p.,n.p.,NT
2011,Jan-Jun,Traffic,Other or unknown,16,55,NT
2011,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2747,11263,NSW
2011,Jul-Dec,Traffic,Motorcyclist,1202,5716,NSW
2011,Jul-Dec,Traffic,Pedal cyclist,717,1971,NSW
2011,Jul-Dec,Traffic,Pedestrian,470,4128,NSW
2011,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",79,372,NSW
2011,Jul-Dec,Traffic,Pick-up truck or van occupant,38,99,NSW
2011,Jul-Dec,Traffic,Bus occupant,38,151,NSW
2011,Jul-Dec,Traffic,Other or unknown,104,555,NSW
2011,Jul-Dec,Traffic,"Car driver, passenger or unknown position",2495,9076,Vic
2011,Jul-Dec,Traffic,Motorcyclist,792,3163,Vic
2011,Jul-Dec,Traffic,Pedal cyclist,835,1970,Vic
2011,Jul-Dec,Traffic,Pedestrian,383,2182,Vic
2011,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",87,388,Vic
2011,Jul-Dec,Traffic,Pick-up truck or van occupant,34,141,Vic
2011,Jul-Dec,Traffic,Bus occupant,17,27,Vic
2011,Jul-Dec,Traffic,Other or unknown,98,278,Vic
2011,Jul-Dec,Traffic,"Car driver, passenger or unknown position",1439,6805,Qld
2011,Jul-Dec,Traffic,Motorcyclist,960,3966,Qld
2011,Jul-Dec,Traffic,Pedal cyclist,492,1540,Qld
2011,Jul-Dec,Traffic,Pedestrian,211,1229,Qld
2011,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",99,565,Qld
2011,Jul-Dec,Traffic,Pick-up truck or van occupant,24,139,Qld
2011,Jul-Dec,Traffic,Bus occupant,9,22,Qld
2011,Jul-Dec,Traffic,Other or unknown,71,300,Qld
2011,Jul-Dec,Traffic,"Car driver, passenger or unknown position",829,4339,WA
2011,Jul-Dec,Traffic,Motorcyclist,440,2479,WA
2011,Jul-Dec,Traffic,Pedal cyclist,247,779,WA
2011,Jul-Dec,Traffic,Pedestrian,113,882,WA
2011,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",23,80,WA
2011,Jul-Dec,Traffic,Pick-up truck or van occupant,14,316,WA
2011,Jul-Dec,Traffic,Bus occupant,16,39,WA
2011,Jul-Dec,Traffic,Other or unknown,36,187,WA
2011,Jul-Dec,Traffic,"Car driver, passenger or unknown position",654,2576,SA
2011,Jul-Dec,Traffic,Motorcyclist,217,1267,SA
2011,Jul-Dec,Traffic,Pedal cyclist,195,707,SA
2011,Jul-Dec,Traffic,Pedestrian,97,885,SA
2011,Jul-Dec,Traffic,"Heavy transport driver, passenger or unknown position",19,39,SA
2011,Jul-Dec,Traffic,Pick-up truck or van occupant,11,35,SA
2011,Jul-Dec,Traffic,Bus occupant,n.p.,n.p.,SA
2011,Jul-Dec,Traffic,Other or unknown,n.p.,n.p.,SA
2011,Jul-Dec,Traffic,"Car driver, passenger or unknown position",122,1084,Tas
