calendar year,6-monthly,cause of injury = traffic,sex,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory 
2011,Jan-Jun,Traffic,Male,3366,17549,NSW
2011,Jan-Jun,Traffic,Female,1857,8540,NSW
2011,Jan-Jun,Traffic,Male,2958,11104,Vic
2011,Jan-Jun,Traffic,Female,1627,5595,Vic
2011,Jan-Jun,Traffic,Male,2082,10279,Qld
2011,Jan-Jun,Traffic,Female,935,3688,Qld
2011,Jan-Jun,Traffic,Male,1128,6355,WA
2011,Jan-Jun,Traffic,Female,596,3029,WA
2011,Jan-Jun,Traffic,Male,753,4311,SA
2011,Jan-Jun,Traffic,Female,394,2135,SA
2011,Jan-Jun,Traffic,Male,174,928,Tas
2011,Jan-Jun,Traffic,Female,73,432,Tas
2011,Jan-Jun,Traffic,Male,195,1064,ACT
2011,Jan-Jun,Traffic,Female,88,398,ACT
2011,Jan-Jun,Traffic,Male,155,1339,NT
2011,Jan-Jun,Traffic,Female,58,473,NT
2011,Jul-Dec,Traffic,Male,3523,16169,NSW
2011,Jul-Dec,Traffic,Female,1872,8086,NSW
2011,Jul-Dec,Traffic,Male,2971,10978,Vic
2011,Jul-Dec,Traffic,Female,1770,6247,Vic
2011,Jul-Dec,Traffic,Male,2292,10666,Qld
2011,Jul-Dec,Traffic,Female,1013,3900,Qld
2011,Jul-Dec,Traffic,Male,1159,6378,WA
2011,Jul-Dec,Traffic,Female,559,2723,WA
2011,Jul-Dec,Traffic,Male,772,3678,SA
2011,Jul-Dec,Traffic,Female,440,1908,SA
2011,Jul-Dec,Traffic,Male,160,1117,Tas
2011,Jul-Dec,Traffic,Female,86,629,Tas
2011,Jul-Dec,Traffic,Male,184,836,ACT
2011,Jul-Dec,Traffic,Female,70,278,ACT
2011,Jul-Dec,Traffic,Male,180,917,NT
2011,Jul-Dec,Traffic,Female,63,281,NT
2012,Jan-Jun,Traffic,Male,3600,15750,NSW
2012,Jan-Jun,Traffic,Female,1830,7935,NSW
2012,Jan-Jun,Traffic,Male,2917,10005,Vic
2012,Jan-Jun,Traffic,Female,1752,6002,Vic
2012,Jan-Jun,Traffic,Male,2147,10098,Qld
2012,Jan-Jun,Traffic,Female,1019,4218,Qld
2012,Jan-Jun,Traffic,Male,1158,6295,WA
2012,Jan-Jun,Traffic,Female,534,2525,WA
2012,Jan-Jun,Traffic,Male,728,4050,SA
2012,Jan-Jun,Traffic,Female,379,2047,SA
2012,Jan-Jun,Traffic,Male,187,1169,Tas
2012,Jan-Jun,Traffic,Female,84,529,Tas
2012,Jan-Jun,Traffic,Male,201,748,ACT
2012,Jan-Jun,Traffic,Female,112,533,ACT
2012,Jan-Jun,Traffic,Male,159,919,NT
2012,Jan-Jun,Traffic,Female,56,377,NT
2012,Jul-Dec,Traffic,Male,3723,17399,NSW
2012,Jul-Dec,Traffic,Female,1968,8874,NSW
2012,Jul-Dec,Traffic,Male,2181,8950,Vic
2012,Jul-Dec,Traffic,Female,1248,5288,Vic
2012,Jul-Dec,Traffic,Male,2549,11150,Qld
2012,Jul-Dec,Traffic,Female,1098,4948,Qld
2012,Jul-Dec,Traffic,Male,1221,6722,WA
2012,Jul-Dec,Traffic,Female,580,2357,WA
2012,Jul-Dec,Traffic,Male,781,4276,SA
2012,Jul-Dec,Traffic,Female,423,2060,SA
2012,Jul-Dec,Traffic,Male,182,731,Tas
2012,Jul-Dec,Traffic,Female,83,419,Tas
2012,Jul-Dec,Traffic,Male,188,641,ACT
2012,Jul-Dec,Traffic,Female,100,344,ACT
2012,Jul-Dec,Traffic,Male,183,1136,NT
2012,Jul-Dec,Traffic,Female,98,523,NT
2013,Jan-Jun,Traffic,Male,3501,15534,NSW
2013,Jan-Jun,Traffic,Female,1966,7348,NSW
2013,Jan-Jun,Traffic,Male,2513,10292,Vic
2013,Jan-Jun,Traffic,Female,1385,5024,Vic
2013,Jan-Jun,Traffic,Male,2452,10236,Qld
2013,Jan-Jun,Traffic,Female,1267,3855,Qld
2013,Jan-Jun,Traffic,Male,1273,6297,WA
2013,Jan-Jun,Traffic,Female,529,2180,WA
2013,Jan-Jun,Traffic,Male,716,3726,SA
2013,Jan-Jun,Traffic,Female,347,1985,SA
2013,Jan-Jun,Traffic,Male,195,922,Tas
2013,Jan-Jun,Traffic,Female,83,462,Tas
2013,Jan-Jun,Traffic,Male,195,1031,ACT
2013,Jan-Jun,Traffic,Female,113,490,ACT
2013,Jan-Jun,Traffic,Male,189,1123,NT
2013,Jan-Jun,Traffic,Female,69,571,NT
2013,Jul-Dec,Traffic,Male,3930,16646,NSW
2013,Jul-Dec,Traffic,Female,2022,7507,NSW
2013,Jul-Dec,Traffic,Male,2468,9085,Vic
2013,Jul-Dec,Traffic,Female,1418,4665,Vic
2013,Jul-Dec,Traffic,Male,2752,10544,Qld
2013,Jul-Dec,Traffic,Female,1350,4384,Qld
2013,Jul-Dec,Traffic,Male,1109,6061,WA
2013,Jul-Dec,Traffic,Female,564,2688,WA
2013,Jul-Dec,Traffic,Male,756,3975,SA
2013,Jul-Dec,Traffic,Female,402,1885,SA
2013,Jul-Dec,Traffic,Male,191,866,Tas
2013,Jul-Dec,Traffic,Female,101,641,Tas
2013,Jul-Dec,Traffic,Male,171,642,ACT
2013,Jul-Dec,Traffic,Female,94,354,ACT
2013,Jul-Dec,Traffic,Male,209,1460,NT
2013,Jul-Dec,Traffic,Female,94,507,NT
2014,Jan-Jun,Traffic,Male,3657,14862,NSW
2014,Jan-Jun,Traffic,Female,1965,8437,NSW
2014,Jan-Jun,Traffic,Male,2700,10185,Vic
2014,Jan-Jun,Traffic,Female,1537,5093,Vic
2014,Jan-Jun,Traffic,Male,2471,9924,Qld
2014,Jan-Jun,Traffic,Female,1272,4093,Qld
2014,Jan-Jun,Traffic,Male,1094,5810,WA
2014,Jan-Jun,Traffic,Female,515,2235,WA
2014,Jan-Jun,Traffic,Male,837,3719,SA
2014,Jan-Jun,Traffic,Female,388,1661,SA
2014,Jan-Jun,Traffic,Male,221,970,Tas
2014,Jan-Jun,Traffic,Female,112,567,Tas
2014,Jan-Jun,Traffic,Male,175,661,ACT
2014,Jan-Jun,Traffic,Female,103,359,ACT
2014,Jan-Jun,Traffic,Male,206,1182,NT
2014,Jan-Jun,Traffic,Female,83,330,NT
