calendar year,6-monthly,cause of injury = traffic,age group,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2011,Jan-Jun,Traffic,0-7,100,222,NSW
2011,Jan-Jun,Traffic,17-25,1173,5029,NSW
2011,Jan-Jun,Traffic,26-39,1255,4630,NSW
2011,Jan-Jun,Traffic,40-64,1602,7448,NSW
2011,Jan-Jun,Traffic,65-74,341,2969,NSW
2011,Jan-Jun,Traffic,75+,338,3770,NSW
2011,Jan-Jun,Traffic,8-16,414,2021,NSW
2011,Jan-Jun,Traffic,0-7,76,218,Vic
2011,Jan-Jun,Traffic,17-25,1055,3001,Vic
2011,Jan-Jun,Traffic,26-39,1159,3790,Vic
2011,Jan-Jun,Traffic,40-64,1483,5346,Vic
2011,Jan-Jun,Traffic,65-74,275,1557,Vic
2011,Jan-Jun,Traffic,75+,262,2178,Vic
2011,Jan-Jun,Traffic,8-16,275,609,Vic
2011,Jan-Jun,Traffic,0-7,96,249,Qld
2011,Jan-Jun,Traffic,17-25,735,3258,Qld
2011,Jan-Jun,Traffic,26-39,686,3414,Qld
2011,Jan-Jun,Traffic,40-64,925,4479,Qld
2011,Jan-Jun,Traffic,65-74,156,937,Qld
2011,Jan-Jun,Traffic,75+,119,871,Qld
2011,Jan-Jun,Traffic,8-16,300,759,Qld
2011,Jan-Jun,Traffic,0-7,39,336,WA
2011,Jan-Jun,Traffic,17-25,443,1933,WA
2011,Jan-Jun,Traffic,26-39,391,2117,WA
2011,Jan-Jun,Traffic,40-64,523,3387,WA
2011,Jan-Jun,Traffic,65-74,99,457,WA
2011,Jan-Jun,Traffic,75+,82,529,WA
2011,Jan-Jun,Traffic,8-16,147,625,WA
2011,Jan-Jun,Traffic,0-7,23,30,SA
2011,Jan-Jun,Traffic,17-25,260,1039,SA
2011,Jan-Jun,Traffic,26-39,254,1675,SA
2011,Jan-Jun,Traffic,40-64,405,2428,SA
2011,Jan-Jun,Traffic,65-74,59,376,SA
2011,Jan-Jun,Traffic,75+,71,602,SA
2011,Jan-Jun,Traffic,8-16,75,296,SA
2011,Jan-Jun,Traffic,0-7,14,49,Tas
2011,Jan-Jun,Traffic,17-25,64,367,Tas
2011,Jan-Jun,Traffic,26-39,43,217,Tas
2011,Jan-Jun,Traffic,40-64,71,424,Tas
2011,Jan-Jun,Traffic,65-74,14,98,Tas
2011,Jan-Jun,Traffic,75+,18,152,Tas
2011,Jan-Jun,Traffic,8-16,23,53,Tas
2011,Jan-Jun,Traffic,0-7,n.p.,n.p.,ACT
2011,Jan-Jun,Traffic,17-25,68,390,ACT
2011,Jan-Jun,Traffic,26-39,79,292,ACT
2011,Jan-Jun,Traffic,40-64,83,417,ACT
2011,Jan-Jun,Traffic,65-74,10,104,ACT
2011,Jan-Jun,Traffic,75+,n.p.,n.p.,ACT
2011,Jan-Jun,Traffic,8-16,22,112,ACT
2011,Jan-Jun,Traffic,0-7,n.p.,n.p.,NT
2011,Jan-Jun,Traffic,17-25,59,290,NT
2011,Jan-Jun,Traffic,26-39,64,487,NT
2011,Jan-Jun,Traffic,40-64,52,563,NT
2011,Jan-Jun,Traffic,65-74,8,188,NT
2011,Jan-Jun,Traffic,75+,n.p.,n.p.,NT
2011,Jan-Jun,Traffic,8-16,26,197,NT
2011,Jul-Dec,Traffic,0-7,104,563,NSW
2011,Jul-Dec,Traffic,17-25,1329,4813,NSW
2011,Jul-Dec,Traffic,26-39,1207,4557,NSW
2011,Jul-Dec,Traffic,40-64,1750,8361,NSW
2011,Jul-Dec,Traffic,65-74,314,2294,NSW
2011,Jul-Dec,Traffic,75+,350,2743,NSW
2011,Jul-Dec,Traffic,8-16,341,924,NSW
2011,Jul-Dec,Traffic,0-7,73,175,Vic
2011,Jul-Dec,Traffic,17-25,1092,3015,Vic
2011,Jul-Dec,Traffic,26-39,1199,3968,Vic
2011,Jul-Dec,Traffic,40-64,1531,6044,Vic
2011,Jul-Dec,Traffic,65-74,306,1304,Vic
2011,Jul-Dec,Traffic,75+,282,1892,Vic
2011,Jul-Dec,Traffic,8-16,258,827,Vic
2011,Jul-Dec,Traffic,0-7,101,217,Qld
2011,Jul-Dec,Traffic,17-25,764,2805,Qld
2011,Jul-Dec,Traffic,26-39,771,3312,Qld
2011,Jul-Dec,Traffic,40-64,1011,4856,Qld
2011,Jul-Dec,Traffic,65-74,174,960,Qld
2011,Jul-Dec,Traffic,75+,152,1467,Qld
2011,Jul-Dec,Traffic,8-16,332,949,Qld
2011,Jul-Dec,Traffic,0-7,45,116,WA
2011,Jul-Dec,Traffic,17-25,413,2128,WA
2011,Jul-Dec,Traffic,26-39,432,2266,WA
2011,Jul-Dec,Traffic,40-64,525,3116,WA
2011,Jul-Dec,Traffic,65-74,84,461,WA
2011,Jul-Dec,Traffic,75+,72,400,WA
2011,Jul-Dec,Traffic,8-16,147,614,WA
2011,Jul-Dec,Traffic,0-7,21,56,SA
2011,Jul-Dec,Traffic,17-25,267,879,SA
2011,Jul-Dec,Traffic,26-39,287,1238,SA
2011,Jul-Dec,Traffic,40-64,369,2007,SA
2011,Jul-Dec,Traffic,65-74,84,579,SA
2011,Jul-Dec,Traffic,75+,98,606,SA
2011,Jul-Dec,Traffic,8-16,86,221,SA
2011,Jul-Dec,Traffic,0-7,6,22,Tas
2011,Jul-Dec,Traffic,17-25,62,414,Tas
2011,Jul-Dec,Traffic,26-39,54,474,Tas
2011,Jul-Dec,Traffic,40-64,72,505,Tas
2011,Jul-Dec,Traffic,65-74,13,95,Tas
2011,Jul-Dec,Traffic,75+,16,156,Tas
2011,Jul-Dec,Traffic,8-16,23,80,Tas
2011,Jul-Dec,Traffic,0-7,5,10,ACT
2011,Jul-Dec,Traffic,17-25,50,111,ACT
2011,Jul-Dec,Traffic,26-39,63,220,ACT
2011,Jul-Dec,Traffic,40-64,94,312,ACT
2011,Jul-Dec,Traffic,65-74,n.p.,n.p.,ACT
2011,Jul-Dec,Traffic,75+,n.p.,n.p.,ACT
2011,Jul-Dec,Traffic,8-16,16,281,ACT
2011,Jul-Dec,Traffic,0-7,7,10,NT
2011,Jul-Dec,Traffic,17-25,60,317,NT
2011,Jul-Dec,Traffic,26-39,70,278,NT
2011,Jul-Dec,Traffic,40-64,72,459,NT
2011,Jul-Dec,Traffic,65-74,n.p.,n.p.,NT
2011,Jul-Dec,Traffic,75+,n.p.,n.p.,NT
2011,Jul-Dec,Traffic,8-16,28,88,NT
2012,Jan-Jun,Traffic,0-7,113,630,NSW
2012,Jan-Jun,Traffic,17-25,1277,4476,NSW
2012,Jan-Jun,Traffic,26-39,1281,4766,NSW
2012,Jan-Jun,Traffic,40-64,1763,8344,NSW
2012,Jan-Jun,Traffic,65-74,315,2135,NSW
2012,Jan-Jun,Traffic,75+,328,2361,NSW
2012,Jan-Jun,Traffic,8-16,353,973,NSW
2012,Jan-Jun,Traffic,0-7,67,185,Vic
2012,Jan-Jun,Traffic,17-25,1121,2909,Vic
2012,Jan-Jun,Traffic,26-39,1178,3604,Vic
2012,Jan-Jun,Traffic,40-64,1456,4853,Vic
2012,Jan-Jun,Traffic,65-74,302,1592,Vic
2012,Jan-Jun,Traffic,75+,296,2242,Vic
2012,Jan-Jun,Traffic,8-16,249,622,Vic
2012,Jan-Jun,Traffic,0-7,96,220,Qld
2012,Jan-Jun,Traffic,17-25,763,2991,Qld
2012,Jan-Jun,Traffic,26-39,731,3025,Qld
2012,Jan-Jun,Traffic,40-64,982,4850,Qld
2012,Jan-Jun,Traffic,65-74,171,1357,Qld
2012,Jan-Jun,Traffic,75+,150,1048,Qld
2012,Jan-Jun,Traffic,8-16,273,825,Qld
2012,Jan-Jun,Traffic,0-7,43,184,WA
2012,Jan-Jun,Traffic,17-25,373,1965,WA
2012,Jan-Jun,Traffic,26-39,465,2388,WA
2012,Jan-Jun,Traffic,40-64,495,2645,WA
2012,Jan-Jun,Traffic,65-74,70,308,WA
2012,Jan-Jun,Traffic,75+,87,607,WA
2012,Jan-Jun,Traffic,8-16,159,723,WA
2012,Jan-Jun,Traffic,0-7,21,51,SA
2012,Jan-Jun,Traffic,17-25,262,1138,SA
2012,Jan-Jun,Traffic,26-39,228,1292,SA
2012,Jan-Jun,Traffic,40-64,378,2270,SA
2012,Jan-Jun,Traffic,65-74,71,408,SA
2012,Jan-Jun,Traffic,75+,84,700,SA
2012,Jan-Jun,Traffic,8-16,63,238,SA
2012,Jan-Jun,Traffic,0-7,8,9,Tas
2012,Jan-Jun,Traffic,17-25,68,377,Tas
2012,Jan-Jun,Traffic,26-39,53,316,Tas
2012,Jan-Jun,Traffic,40-64,80,414,Tas
2012,Jan-Jun,Traffic,65-74,16,193,Tas
2012,Jan-Jun,Traffic,75+,25,247,Tas
2012,Jan-Jun,Traffic,8-16,21,142,Tas
2012,Jan-Jun,Traffic,0-7,n.p.,n.p.,ACT
2012,Jan-Jun,Traffic,17-25,69,318,ACT
2012,Jan-Jun,Traffic,26-39,91,320,ACT
2012,Jan-Jun,Traffic,40-64,91,359,ACT
2012,Jan-Jun,Traffic,65-74,n.p.,n.p.,ACT
2012,Jan-Jun,Traffic,75+,n.p.,n.p.,ACT
2012,Jan-Jun,Traffic,8-16,26,74,ACT
2012,Jan-Jun,Traffic,0-7,n.p.,n.p.,NT
2012,Jan-Jun,Traffic,17-25,47,307,NT
2012,Jan-Jun,Traffic,26-39,69,285,NT
2012,Jan-Jun,Traffic,40-64,69,548,NT
2012,Jan-Jun,Traffic,65-74,n.p.,n.p.,NT
2012,Jan-Jun,Traffic,75+,n.p.,n.p.,NT
2012,Jan-Jun,Traffic,8-16,16,91,NT
2012,Jul-Dec,Traffic,0-7,133,628,NSW
2012,Jul-Dec,Traffic,17-25,1239,4170,NSW
2012,Jul-Dec,Traffic,26-39,1359,5350,NSW
2012,Jul-Dec,Traffic,40-64,1828,8316,NSW
2012,Jul-Dec,Traffic,65-74,349,2122,NSW
2012,Jul-Dec,Traffic,75+,377,3545,NSW
2012,Jul-Dec,Traffic,8-16,406,2142,NSW
2012,Jul-Dec,Traffic,0-7,59,136,Vic
2012,Jul-Dec,Traffic,17-25,770,2631,Vic
2012,Jul-Dec,Traffic,26-39,872,3293,Vic
2012,Jul-Dec,Traffic,40-64,1075,4363,Vic
2012,Jul-Dec,Traffic,65-74,224,1392,Vic
2012,Jul-Dec,Traffic,75+,256,1918,Vic
2012,Jul-Dec,Traffic,8-16,173,505,Vic
2012,Jul-Dec,Traffic,0-7,97,303,Qld
2012,Jul-Dec,Traffic,17-25,884,3374,Qld
2012,Jul-Dec,Traffic,26-39,862,3387,Qld
2012,Jul-Dec,Traffic,40-64,1157,5669,Qld
2012,Jul-Dec,Traffic,65-74,198,1336,Qld
2012,Jul-Dec,Traffic,75+,160,1326,Qld
2012,Jul-Dec,Traffic,8-16,289,703,Qld
2012,Jul-Dec,Traffic,0-7,50,274,WA
2012,Jul-Dec,Traffic,17-25,447,2021,WA
2012,Jul-Dec,Traffic,26-39,437,2172,WA
2012,Jul-Dec,Traffic,40-64,533,2955,WA
2012,Jul-Dec,Traffic,65-74,80,450,WA
