calendar year,6-monthly,cause of injury = traffic,counterparty,count of cases excluding died in hospitals within 30 days,bed days excluding died in hospitals within 30 days,state or territory
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",2286,11698,NSW
2011,Jan-Jun,Traffic,Fixed or stationary object,760,4941,NSW
2011,Jan-Jun,Traffic,Non-collision transport accident,1167,4548,NSW
2011,Jan-Jun,Traffic,Other,1010,4902,NSW
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",2122,8165,Vic
2011,Jan-Jun,Traffic,Fixed or stationary object,689,2920,Vic
2011,Jan-Jun,Traffic,Non-collision transport accident,994,2773,Vic
2011,Jan-Jun,Traffic,Other,780,2841,Vic
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",1025,5394,Qld
2011,Jan-Jun,Traffic,Fixed or stationary object,412,2949,Qld
2011,Jan-Jun,Traffic,Non-collision transport accident,888,3084,Qld
2011,Jan-Jun,Traffic,Other,692,2540,Qld
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",661,4126,WA
2011,Jan-Jun,Traffic,Fixed or stationary object,239,1307,WA
2011,Jan-Jun,Traffic,Non-collision transport accident,500,2331,WA
2011,Jan-Jun,Traffic,Other,324,1620,WA
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",477,2982,SA
2011,Jan-Jun,Traffic,Fixed or stationary object,190,1270,SA
2011,Jan-Jun,Traffic,Non-collision transport accident,323,1212,SA
2011,Jan-Jun,Traffic,Other,157,982,SA
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",98,625,Tas
2011,Jan-Jun,Traffic,Fixed or stationary object,35,255,Tas
2011,Jan-Jun,Traffic,Non-collision transport accident,68,300,Tas
2011,Jan-Jun,Traffic,Other,46,180,Tas
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",93,596,ACT
2011,Jan-Jun,Traffic,Fixed or stationary object,34,326,ACT
2011,Jan-Jun,Traffic,Non-collision transport accident,97,319,ACT
2011,Jan-Jun,Traffic,Other,59,221,ACT
2011,Jan-Jun,Traffic,"Car, pick-up truck or van",58,589,NT
2011,Jan-Jun,Traffic,Fixed or stationary object,22,169,NT
2011,Jan-Jun,Traffic,Non-collision transport accident,83,622,NT
2011,Jan-Jun,Traffic,Other,50,432,NT
2011,Jul-Dec,Traffic,"Car, pick-up truck or van",2393,11491,NSW
2011,Jul-Dec,Traffic,Fixed or stationary object,783,4289,NSW
2011,Jul-Dec,Traffic,Non-collision transport accident,1182,4257,NSW
